STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
152000,99999, 19521201,   49.2, 4,   45.7, 4, 1014.9, 4, 9999.9, 0,   7.6, 4,   8.5, 4,  12.0, 999.9,   54.0 ,  41.0 , 0.02E,999.9, 010000,
152000,99999, 19521203,   31.5, 4,   31.0, 4, 1012.6, 4, 9999.9, 0,   6.4, 4,   1.0, 4,   4.1, 999.9,   36.0 ,  27.0 , 0.08E,999.9, 001000,
152000,99999, 19521206,   29.5, 4,   29.5, 4, 1032.8, 4, 9999.9, 0,   2.8, 4,   5.5, 4,   9.9, 999.9,   30.0 ,  28.0 , 0.05F,999.9, 001000,
152000,99999, 19521207,   31.5, 4,   30.2, 4, 1029.3, 4, 9999.9, 0,   2.2, 4,   2.0, 4,   4.1, 999.9,   34.0 ,  28.0 ,99.99 ,999.9, 101000,
152000,99999, 19521210,   29.3, 4,   29.3, 4, 1032.7, 4, 9999.9, 0,   3.6, 4,   5.4, 4,   9.9, 999.9,   32.0 ,  27.0 , 0.00I,999.9, 000000,
152000,99999, 19521211,   29.5, 4,   27.0, 4, 1027.2, 4, 9999.9, 0,   5.6, 4,   1.0, 4,   1.9, 999.9,   37.0 ,  23.0 , 0.00I,999.9, 000000,
152000,99999, 19521214,   43.7, 4, 9999.9, 0, 9999.9, 0, 9999.9, 0,   9.2, 4,  13.2, 4,  16.9, 999.9,   46.0 ,  43.0 , 0.05F,999.9, 010000,
152000,99999, 19521216,   40.2, 4,   37.3, 4, 1004.0, 4, 9999.9, 0,   7.0, 4,   2.5, 4,   8.0, 999.9,   48.0 ,  32.0 , 0.33F,999.9, 010000,
152000,99999, 19521221,   37.8, 4,   37.3, 4, 1012.7, 4, 9999.9, 0,   1.1, 4,   3.0, 4,   8.0, 999.9,   41.0 ,  36.0*, 0.16E,999.9, 010000,
152000,99999, 19521222,   37.3, 4,   37.3, 4, 1009.1, 4, 9999.9, 0,   3.9, 4,  11.0, 4,  14.0, 999.9,   41.0 ,  36.0 , 0.00I,999.9, 000000,
152000,99999, 19521223,   36.3, 4,   33.8, 4, 1017.6, 4, 9999.9, 0,   4.7, 4,  13.5, 4,  15.9, 999.9,   41.0 ,  32.0 , 0.00I,999.9, 000000,
152000,99999, 19521227,   36.5, 4,   34.7, 4, 1017.5, 4, 9999.9, 0,   5.8, 4,   2.0, 4,   8.0, 999.9,   45.0 ,  32.0 , 0.02E,999.9, 100000,
152000,99999, 19521228,   41.3, 4, 9999.9, 0, 1011.6, 4, 9999.9, 0,   9.3, 4,   5.2, 4,  16.9, 999.9,   50.0 ,  37.0 , 0.16E,999.9, 010000,
152000,99999, 19521229,   44.2, 4,   42.0, 4, 1012.9, 4, 9999.9, 0,   4.5, 4,   1.5, 4,   4.1, 999.9,   48.0 ,  41.0*, 0.43F,999.9, 010000,
152000,99999, 19521231,   48.7, 4,   43.7, 4, 1013.0, 4, 9999.9, 0,  17.7, 4,  11.5, 4,  16.9, 999.9,   54.0 ,  43.0 , 0.06F,999.9, 010000,
152000,99999, 19530101,   50.0, 4,   36.8, 4, 1005.3, 4, 9999.9, 0,  15.5, 4,  12.7, 4,  16.9, 999.9,   55.0 ,  45.0 , 0.00I,999.9, 000000,
152000,99999, 19530105,   31.5, 4,   31.5, 4, 1016.8, 4, 9999.9, 0,   3.0, 4,   1.0, 4,   4.1, 999.9,   36.0 ,  28.0 , 0.00I,999.9, 000000,
152000,99999, 19530107,   44.0, 4,   41.2, 4, 1004.7, 4, 9999.9, 0,   5.3, 4,   3.5, 4,  12.0, 999.9,   48.0 ,  41.0 , 0.16F,999.9, 110000,
152000,99999, 19530108,   42.8, 4,   41.5, 4, 1005.5, 4, 9999.9, 0,   3.4, 4,   0.0, 4, 999.9, 999.9,   46.0 ,  39.0 , 0.51F,999.9, 010000,
152000,99999, 19530111,   30.5, 4,   28.0, 4, 1015.3, 4, 9999.9, 0,   3.9, 4,   6.0, 4,  12.0, 999.9,   32.0*,  25.0 , 0.08E,999.9, 001000,
152000,99999, 19530113,   31.0, 4,   29.5, 4, 1024.8, 4, 9999.9, 0,   7.0, 4,   6.0, 4,   9.9, 999.9,   36.0 ,  28.0 , 0.00I,999.9, 000000,
152000,99999, 19530115,   29.5, 4,   26.8, 4, 1024.2, 4, 9999.9, 0,   7.3, 4,   1.5, 4,   6.0, 999.9,   32.0*,  27.0 , 0.00I,999.9, 000000,
152000,99999, 19530116,   27.3, 4, 9999.9, 0, 1026.1, 4, 9999.9, 0,   6.2, 4,   0.0, 4, 999.9, 999.9,   30.0 ,  23.0 , 0.00I,999.9, 000000,
152000,99999, 19530117,   27.5, 4,   25.0, 4, 1030.6, 4, 9999.9, 0,   5.9, 4,   3.5, 4,   9.9, 999.9,   28.0 ,  27.0 , 0.00I,999.9, 000000,
152000,99999, 19530118,   23.5, 4,   23.5, 4, 1030.4, 4, 9999.9, 0,   1.0, 4,   2.5, 4,   9.9, 999.9,   27.0*,  18.0 , 0.00I,999.9, 100000,
152000,99999, 19530119,   26.5, 4,   25.5, 4, 1023.6, 4, 9999.9, 0,   3.4, 4,   6.5, 4,   9.9, 999.9,   27.0 ,  23.0 , 0.00I,999.9, 100000,
152000,99999, 19530121,   27.2, 4,   24.8, 4, 1030.5, 4, 9999.9, 0,   6.4, 4,   0.5, 4,   1.9, 999.9,   34.0 ,  25.0 , 0.00I,999.9, 000000,
152000,99999, 19530125,   31.3, 4,   26.5, 4, 9999.9, 0, 9999.9, 0,   6.2, 4,   7.0, 4,  12.0, 999.9,   37.0*,  19.0 , 0.00I,999.9, 100000,
152000,99999, 19530126,   32.7, 4,   30.5, 4, 1013.5, 4, 9999.9, 0,   4.6, 4,   6.2, 4,  16.9, 999.9,   36.0 ,  27.0*, 0.08F,999.9, 010000,
152000,99999, 19530127,   23.7, 4,   18.5, 4, 1027.9, 4, 9999.9, 0,   9.3, 4,   9.5, 4,  15.9, 999.9,   30.0 ,  16.0 , 0.00I,999.9, 000000,
152000,99999, 19530131,   37.8, 4,   35.0, 4, 1016.4, 4, 9999.9, 0,   5.5, 4,   4.0, 4,   8.0, 999.9,   50.0 ,  30.0 , 0.00I,999.9, 100000,
152000,99999, 19530202,   32.8, 4,   32.0, 4, 1003.9, 4, 9999.9, 0,   8.2, 4,   6.0, 4,  12.0, 999.9,   41.0 ,  28.0 , 0.00I,999.9, 000000,
152000,99999, 19530207,   26.2, 4,   25.0, 4, 1011.0, 4, 9999.9, 0,   4.2, 4,   3.0, 4,   8.0, 999.9,   36.0 ,  23.0 , 0.00I,999.9, 000000,
152000,99999, 19530208,   26.0, 4,   23.7, 4, 1007.6, 4, 9999.9, 0,   2.2, 4,   9.2, 4,  16.9, 999.9,   27.0*,  23.0 ,99.99 ,999.9, 001000,
152000,99999, 19530212,   36.5, 4,   35.5, 4, 9999.9, 0, 9999.9, 0,   5.0, 4,   3.5, 4,  14.0, 999.9,   39.0 ,  34.0 , 0.14F,999.9, 010000,
152000,99999, 19530215,   35.2, 4,   35.0, 4, 1017.3, 4, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   37.0*,  32.0 ,99.99 ,999.9, 110000,
152000,99999, 19530216,   32.5, 4,   32.5, 4, 1003.7, 4, 9999.9, 0, 999.9, 0,  13.7, 4,  21.0, 999.9,   36.0 ,  21.0 , 0.31F,999.9, 011000,
152000,99999, 19530217,   25.0, 4,   20.0, 4, 1011.0, 4, 9999.9, 0, 999.9, 0,  20.7, 4,  27.0, 999.9,   28.0 ,  23.0 , 0.16F,999.9, 001000,
152000,99999, 19530218,   22.0, 4, 9999.9, 0, 1015.2, 4, 9999.9, 0,   3.6, 4,   7.5, 4,  12.0, 999.9,   25.0*,  16.0 ,99.99 ,999.9, 001000,
152000,99999, 19530219,   26.2, 4,   25.2, 4, 9999.9, 0, 9999.9, 0, 999.9, 0,   8.0, 4,  14.0, 999.9,   34.0 ,  12.0 , 0.00I,999.9, 100000,
152000,99999, 19530220,   37.5, 4,   32.0, 4, 1022.6, 4, 9999.9, 0,   3.6, 4,   5.5, 4,  12.0, 999.9,   41.0 ,  34.0 , 0.00I,999.9, 000000,
152000,99999, 19530221,   38.0, 4,   36.0, 4, 1026.6, 4, 9999.9, 0,   1.7, 4,   5.0, 4,   9.9, 999.9,   50.0 ,  25.0 , 0.00I,999.9, 100000,
152000,99999, 19530222,   43.5, 4,   37.0, 4, 1022.5, 4, 9999.9, 0,   8.5, 4,  15.9, 4,  22.9, 999.9,   52.0 ,  36.0 , 0.01E,999.9, 000000,
152000,99999, 19530223,   46.7, 4,   39.0, 4, 1019.8, 4, 9999.9, 0,  10.1, 4,  17.5, 4,  25.1, 999.9,   55.0 ,  41.0 , 0.00I,999.9, 000000,
152000,99999, 19530225,   35.2, 4,   26.2, 4, 1029.4, 4, 9999.9, 0,  13.7, 4,  13.7, 4,  19.0, 999.9,   39.0*,  32.0 , 0.00I,999.9, 000000,
152000,99999, 19530228,   37.5, 4,   32.7, 4, 1024.4, 4, 9999.9, 0, 999.9, 0,   4.5, 4,   9.9, 999.9,   39.0*,  34.0 , 0.04F,999.9, 010000,
152000,99999, 19530303,   34.5, 4,   30.7, 4, 9999.9, 0, 9999.9, 0,   7.9, 4,   5.0, 4,  14.0, 999.9,   46.0*,  25.0 , 0.00I,999.9, 000000,
152000,99999, 19530309,   33.3, 4,   24.5, 4, 1029.4, 4, 9999.9, 0,   9.3, 4,   9.0, 4,  12.0, 999.9,   45.0 ,  28.0 , 0.00I,999.9, 000000,
