STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
151500,99999, 19521201,   38.3, 4,   38.0, 4, 1015.2, 4, 9999.9, 0,   3.8, 4,  10.5, 4,  14.0, 999.9,   43.0*,  32.0 , 0.02E,999.9, 110000,
151500,99999, 19521202,   34.2, 4,   30.5, 4, 1019.6, 4, 9999.9, 0,   1.9, 4,  19.7, 4,  25.1, 999.9,   41.0 ,  27.0*, 0.12F,999.9, 001000,
151500,99999, 19521203,   28.8, 4,   28.0, 4, 1012.3, 4, 9999.9, 0,   2.4, 4, 999.9, 0, 999.9, 999.9,   32.0 ,  25.0 , 0.24F,999.9, 101000,
151500,99999, 19521204,   26.2, 4,   26.2, 4, 1016.4, 4, 9999.9, 0,   0.8, 4,  12.7, 4,  36.9, 999.9,   30.0 ,  25.0 , 0.08E,999.9, 111000,
151500,99999, 19521206,   25.0, 4,   18.5, 4, 1040.6, 4, 9999.9, 0,   6.2, 4,  14.5, 4,  22.9, 999.9,   27.0 ,  23.0 , 0.00I,999.9, 000000,
151500,99999, 19521207,   21.2, 4,   17.0, 4, 1033.6, 4, 9999.9, 0,   6.2, 4,   5.2, 4,  16.9, 999.9,   28.0 ,  14.0 , 0.00I,999.9, 000000,
151500,99999, 19521208,   20.8, 4,   17.7, 4, 1038.2, 4, 9999.9, 0, 999.9, 0,  10.2, 4,  22.9, 999.9,   23.0*,  14.0*,99.99 ,999.9, 001000,
151500,99999, 19521209,   10.5, 4,    6.0, 4, 1032.2, 4, 9999.9, 0,   4.3, 4,   2.0, 4,   4.1, 999.9,   16.0*,   5.0*, 0.00I,999.9, 000000,
151500,99999, 19521210,   22.5, 4, 9999.9, 0, 1035.1, 4, 9999.9, 0,   4.3, 4,   3.5, 4,  14.0, 999.9,   30.0 ,   1.0 , 0.02E,999.9, 001000,
151500,99999, 19521211,   23.5, 4,   21.2, 4, 1028.2, 4, 9999.9, 0,   6.2, 4,  16.9, 4,  16.9, 999.9,   30.0 ,  16.0 , 0.00I,999.9, 000000,
151500,99999, 19521215,   30.7, 4,   29.8, 4, 1003.1, 4, 9999.9, 0,   1.9, 4,  17.4, 4,  30.9, 999.9,   37.0 ,  18.0 , 0.00I,999.9, 000000,
151500,99999, 19521216,   36.5, 4,   33.5, 4, 1006.0, 4, 9999.9, 0,   8.4, 4,   1.0, 4,   4.1, 999.9,   43.0 ,  34.0 , 0.02E,999.9, 010000,
151500,99999, 19521217,   34.7, 4,   30.2, 4, 1002.9, 4, 9999.9, 0,   3.9, 4,  11.2, 4,  16.9, 999.9,   45.0 ,  32.0 , 0.02E,999.9, 100000,
151500,99999, 19521220,   36.5, 4,   36.5, 4, 9999.9, 0, 9999.9, 0, 999.9, 0,   5.0, 4,  14.0, 999.9,   39.0 ,  32.0 , 0.04E,999.9, 110000,
151500,99999, 19521228,   34.5, 4,   34.5, 4, 1015.0, 4, 9999.9, 0,   0.8, 4,  10.0, 4,  15.9, 999.9,   36.0 ,  32.0 , 0.00I,999.9, 100000,
151500,99999, 19521230,   32.0, 4,   32.0, 4, 1015.7, 4, 9999.9, 0,   0.8, 4,   1.0, 4,   4.1, 999.9,   39.0 ,  30.0 , 0.00I,999.9, 100000,
151500,99999, 19521231,   34.2, 4,   33.3, 4, 1015.1, 4, 9999.9, 0,   1.6, 4,   6.2, 4,  16.9, 999.9,   45.0 ,  28.0 , 0.00I,999.9, 100000,
151500,99999, 19530101,   33.5, 4,   33.5, 4, 1010.6, 4, 9999.9, 0, 999.9, 0,   2.0, 4,   4.1, 999.9,   39.0 ,  28.0 , 0.00I,999.9, 100000,
151500,99999, 19530103,   43.2, 4,   40.7, 4, 1000.8, 4, 9999.9, 0,   8.4, 4,  12.2, 4,  22.9, 999.9,   50.0 ,  36.0 , 0.00I,999.9, 000000,
151500,99999, 19530104,   38.3, 4,   38.3, 4, 1004.5, 4, 9999.9, 0,   2.2, 4,   5.0, 4,   8.0, 999.9,   41.0*,  36.0 , 0.39E,999.9, 010000,
151500,99999, 19530105,   36.2, 4,   32.5, 4, 1014.0, 4, 9999.9, 0,   9.3, 4, 999.9, 0, 999.9, 999.9,   41.0 ,  34.0 , 0.34F,999.9, 010000,
151500,99999, 19530107,   32.5, 4,   32.5, 4, 1016.4, 4, 9999.9, 0,   0.5, 4,   1.5, 4,   4.1, 999.9,   34.0 ,  30.0 , 0.24F,999.9, 011000,
