STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
150200,99999, 19580107,   28.0, 4,   24.3, 4,  991.2, 4, 9999.9, 0,   6.2, 4,   4.5, 4,  14.0, 999.9,   37.0*,  18.0*,99.99 ,999.9, 001000,
150200,99999, 19580526,   70.2, 4,   58.5, 4, 1014.6, 4, 9999.9, 0,   6.2, 4,   5.0, 4,   8.0, 999.9,   77.0*,  66.0*, 0.00I,999.9, 000010,
150200,99999, 19580717,   80.5, 4,   64.3, 4, 1013.2, 4, 9999.9, 0,   6.2, 4,   1.5, 4,   4.1, 999.9,   93.0 ,  66.0 , 0.00I,999.9, 000000,
150200,99999, 19580905,   59.0, 4,   48.2, 4, 1021.0, 4, 9999.9, 0,   6.2, 4,   7.7, 4,  16.9, 999.9,   70.0 ,  48.0 , 0.00I,999.9, 000000,
150200,99999, 19590328,   44.3, 4,   37.0, 4, 1013.3, 4, 9999.9, 0,   7.8, 4,   0.0, 4, 999.9, 999.9,   63.0 ,  37.0*, 0.00I,999.9, 000000,
150200,99999, 19590405,   42.5, 4,   31.5, 4, 1008.5, 4, 9999.9, 0,  12.4, 4,   1.0, 4,   4.1, 999.9,   52.0*,  34.0*, 0.00I,999.9, 000000,
150200,99999, 19590503,   48.5, 4,   48.0, 4, 1011.0, 4, 9999.9, 0,   4.3, 4,   2.5, 4,   6.0, 999.9,   50.0*,  46.0*,99.99 ,999.9, 010000,
150200,99999, 19590504,   52.5, 4,   45.8, 4, 1015.0, 4, 9999.9, 0,   5.3, 4,   4.0, 4,   8.0, 999.9,   57.0*,  48.0*,99.99 ,999.9, 010000,
150200,99999, 19590609,   67.0, 4,   60.0, 4, 1013.8, 4, 9999.9, 0,   7.8, 4,   2.5, 4,   4.1, 999.9,   77.0*,  59.0*, 0.00I,999.9, 000000,
150200,99999, 19590808,   68.8, 5,   59.8, 5, 1013.2, 5, 9999.9, 0,   6.2, 5,  10.8, 5,  22.9, 999.9,   75.0*,  63.0 , 0.00I,999.9, 000000,
150200,99999, 19590809,   71.4, 5,   59.4, 5, 1017.5, 5, 9999.9, 0,   9.9, 5,   1.6, 5,   4.1, 999.9,   81.0 ,  59.0*, 0.00I,999.9, 000000,
150200,99999, 19590810,   70.3, 7,   61.9, 7, 1016.1, 7, 9999.9, 0,   9.8, 7,   0.9, 7,   4.1, 999.9,   86.0 ,  59.0*, 0.00I,999.9, 000000,
150200,99999, 19590811,   72.1, 8,   65.0, 8, 1012.6, 8, 9999.9, 0,   6.2, 8,   0.7, 8,   1.9, 999.9,   88.0 ,  61.0 , 0.02E,999.9, 000010,
150200,99999, 19590812,   67.6, 8,   62.2, 8, 1011.1, 8, 9999.9, 0,   5.7, 8,   3.6, 8,  16.9, 999.9,   77.0 ,  61.0*, 0.12E,999.9, 010000,
150200,99999, 19590813,   72.3, 8,   62.2, 8, 1010.7, 8, 9999.9, 0,   6.2, 8,   1.3, 8,   4.1, 999.9,   81.0 ,  63.0 , 0.00I,999.9, 000000,
150200,99999, 19590814,   67.2, 7,   57.0, 7, 1013.7, 7, 9999.9, 0,   6.2, 7,   1.4, 7,   4.1, 999.9,   77.0 ,  63.0 , 0.00I,999.9, 000000,
150200,99999, 19590815,   62.7, 6,   58.0, 6, 1015.2, 6, 9999.9, 0,   6.2, 6,   0.0, 6, 999.9, 999.9,   66.0 ,  61.0 , 0.04E,999.9, 010000,
