STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
154220,99999, 19820315,   35.8, 4, 9999.9, 0, 9999.9, 0, 9999.9, 0,   2.5, 4,  14.1, 4,  15.5, 999.9,   38.1,  34.9, 0.00A,999.9, 000000,
154220,99999, 19820726,   69.3, 6, 9999.9, 0, 9999.9, 0, 9999.9, 0,   5.6, 6,   0.6, 6,   1.9, 999.9,   76.6,  65.5, 0.20E,999.9, 010000,
154220,99999, 19820801,   62.0, 4, 9999.9, 0, 9999.9, 0, 9999.9, 0,   6.2, 4,   0.5, 4,   1.9, 999.9,   63.3,  60.8, 99.99 ,999.9, 010000,
154220,99999, 19820802,   61.6, 4, 9999.9, 0, 9999.9, 0, 9999.9, 0,   5.3, 4,   0.5, 4,   1.9, 999.9,   68.4,  57.6, 0.31A,999.9, 000000,
154220,99999, 19820819,   75.0, 4, 9999.9, 0, 9999.9, 0, 9999.9, 0,   6.2, 4,   0.0, 4, 999.9, 999.9,   82.0,  63.3 , 0.00B,999.9, 000000,
154220,99999, 19820822,   75.6, 5, 9999.9, 0, 9999.9, 0, 9999.9, 0,   6.2, 5,   3.0, 5,   4.1, 999.9,   77.7,  66.9, 0.00H,999.9, 010010,
154220,99999, 19820823,   60.1, 6, 9999.9, 0, 9999.9, 0, 9999.9, 0,   2.5, 6,   1.6, 5,   1.9, 999.9,   60.8,  59.4, 99.99 ,999.9, 010000,
154220,99999, 19820928,   69.8, 5,   58.1, 5, 1018.4, 5, 1008.7, 5,   5.5, 5,   0.2, 5,   1.0, 999.9,   82.4,  55.0 , 0.00B,999.9, 000000,
154220,99999, 19821025,   49.0, 4, 9999.9, 0, 9999.9, 0, 9999.9, 0,   1.9, 4,   0.0, 4, 999.9, 999.9,   49.6,  48.2, 0.00A,999.9, 100000,
154220,99999, 19821104,   44.9, 5, 9999.9, 0, 9999.9, 0, 9999.9, 0,   3.2, 5,   0.0, 5, 999.9, 999.9,   57.2,  36.3, 0.00I,999.9, 000000,
154220,99999, 19821105,   42.7, 6,   34.8, 5, 1017.3, 5, 1006.7, 5,   4.3, 6,   3.5, 6,   8.0, 999.9,   52.5 ,  35.6, 0.00B,999.9, 000000,
