STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
153500,99999, 19651201,   36.7, 7,   30.4, 7, 1010.4, 7, 9999.9, 0,   8.2, 7,   5.4, 7,  14.0, 999.9,   46.0 ,  28.0 , 0.00I,999.9, 000000,
153500,99999, 19651202,   40.0, 7,   37.3, 7, 1013.1, 7, 9999.9, 0,   5.7, 7,   2.6, 7,   6.0, 999.9,   43.0*,  36.0 , 0.16E,999.9, 110000,
153500,99999, 19651203,   37.2, 7,   35.9, 7, 1009.7, 7, 9999.9, 0,   5.6, 7,   3.4, 7,   8.0, 999.9,   45.0 ,  36.0 , 0.24E,999.9, 110000,
153500,99999, 19651204,   35.8, 8,   34.4, 8, 1007.9, 8, 9999.9, 0,   1.7, 8,   1.7, 8,   8.0, 999.9,   39.0 ,  30.0 , 0.00I,999.9, 100000,
153500,99999, 19651205,   30.3, 8,   30.3, 8, 1014.2, 8, 9999.9, 0,   0.2, 8,   2.5, 8,   6.0, 999.9,   34.0 ,  28.0 , 0.00I,999.9, 100000,
153500,99999, 19651206,   36.7, 8,   33.2, 8, 1013.8, 8, 9999.9, 0,   5.2, 8,  10.6, 8,  22.9, 999.9,   43.0 ,  30.0 , 0.00I,999.9, 100000,
153500,99999, 19651207,   40.0, 6,   35.4, 6, 1017.3, 6, 9999.9, 0,   7.0, 6,   4.0, 6,  14.0, 999.9,   52.0 ,  30.0 , 0.00I,999.9, 000000,
153500,99999, 19651208,   42.8, 8,   38.6, 8, 1014.5, 8, 9999.9, 0,   7.7, 8,   4.5, 8,  14.0, 999.9,   55.0 ,  34.0 , 0.00I,999.9, 000000,
153500,99999, 19651209,   39.4, 6,   35.7, 6, 1022.6, 6, 9999.9, 0,   5.7, 6,   2.7, 6,   8.0, 999.9,   43.0*,  37.0*, 0.02E,999.9, 000000,
153500,99999, 19651210,   37.6, 7,   36.6, 7, 1008.8, 7, 9999.9, 0,   3.6, 7,   5.7, 7,  14.0, 999.9,   45.0 ,  34.0 , 0.00I,999.9, 000000,
153500,99999, 19651211,   44.4, 8,   41.7, 8,  995.8, 8, 9999.9, 0,   3.4, 8,   0.8, 8,   4.1, 999.9,   55.0 ,  34.0 , 0.02E,999.9, 110000,
153500,99999, 19651212,   42.4, 8,   41.4, 8,  996.0, 8, 9999.9, 0,   6.6, 8,   2.3, 8,   8.0, 999.9,   50.0 ,  37.0*, 0.24F,999.9, 010000,
153500,99999, 19651213,   36.4, 8,   30.1, 8, 1009.8, 8, 9999.9, 0,   7.2, 8,   1.7, 8,   4.1, 999.9,   43.0 ,  34.0*, 0.20F,999.9, 010000,
153500,99999, 19651214,   30.9, 7,   28.9, 7, 1014.8, 7, 9999.9, 0,   4.4, 7,   2.6, 7,   8.0, 999.9,   36.0 ,  27.0 , 0.02E,999.9, 001000,
153500,99999, 19651215,   28.0, 6,   20.0, 6, 1021.3, 6, 9999.9, 0,   4.9, 6,  13.1, 6,  22.9, 999.9,   32.0*,  21.0*, 0.39E,999.9, 001000,
153500,99999, 19651216,   26.6, 5,   22.6, 5, 1022.1, 5, 9999.9, 0,   3.2, 5,   0.8, 5,   1.9, 999.9,   32.0 ,  21.0 , 0.00I,999.9, 000000,
153500,99999, 19651217,   24.4, 8,   19.8, 8, 1027.0, 8, 9999.9, 0,   3.1, 8,   2.0, 8,   4.1, 999.9,   28.0 ,  21.0 , 0.00I,999.9, 000000,
153500,99999, 19651218,   26.6, 7,   24.6, 7, 1024.3, 7, 9999.9, 0,   2.2, 7,   3.4, 7,   8.0, 999.9,   32.0*,  19.0 ,99.99 ,999.9, 110000,
153500,99999, 19651219,   32.0, 7,   31.4, 7, 1023.2, 7, 9999.9, 0,   1.2, 7,   5.1, 7,  14.0, 999.9,   34.0 ,  27.0 ,99.99 ,999.9, 110000,
