STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
154600,99999, 19651201,   45.1, 7,   39.9, 7, 1010.7, 7, 9999.9, 0,   5.1, 7,   2.0, 7,   8.0, 999.9,   57.0 ,  36.0 ,99.99 ,999.9, 010000,
154600,99999, 19651202,   41.2, 8,   41.2, 8, 1011.8, 8, 9999.9, 0,   1.9, 8,   2.2, 8,   8.0, 999.9,   43.0 ,  39.0 , 0.47F,999.9, 010000,
154600,99999, 19651203,   37.5, 7,   37.2, 7, 1009.8, 7, 9999.9, 0,   4.1, 7,   5.4, 7,   8.0, 999.9,   43.0 ,  34.0*, 0.37F,999.9, 010000,
154600,99999, 19651204,   34.7, 8,   34.4, 8, 1007.9, 8, 9999.9, 0,   1.7, 8,   0.0, 8, 999.9, 999.9,   39.0 ,  30.0 , 0.08E,999.9, 110000,
154600,99999, 19651205,   33.6, 7,   33.6, 7, 1014.3, 7, 9999.9, 0,   0.7, 7,   2.0, 7,   4.1, 999.9,   37.0*,  32.0*, 0.00I,999.9, 100000,
154600,99999, 19651206,   38.6, 8,   35.5, 8, 1015.5, 8, 9999.9, 0,   4.8, 8,   2.7, 8,   4.1, 999.9,   45.0 ,  34.0 , 0.00I,999.9, 000000,
154600,99999, 19651207,   38.7, 7,   36.0, 7, 1018.2, 7, 9999.9, 0,   4.0, 7,   0.3, 7,   1.9, 999.9,   52.0 ,  30.0 , 0.00I,999.9, 100000,
154600,99999, 19651208,   42.4, 8,   39.2, 8, 1016.0, 8, 9999.9, 0,   3.3, 8,   1.0, 8,   1.9, 999.9,   57.0 ,  32.0 , 0.00I,999.9, 000000,
154600,99999, 19651209,   40.5, 8,   38.3, 8, 1023.2, 8, 9999.9, 0,   4.8, 8,   2.3, 8,   4.1, 999.9,   45.0 ,  37.0 , 0.00I,999.9, 000000,
154600,99999, 19651210,   38.3, 7,   38.3, 7, 1009.3, 7, 9999.9, 0,   0.5, 7,   0.3, 7,   1.9, 999.9,   45.0 ,  34.0 , 0.00I,999.9, 100000,
154600,99999, 19651211,   52.8, 8,   46.1, 8,  995.2, 8, 9999.9, 0,   5.7, 8,   8.3, 8,  16.9, 999.9,   59.0 ,  34.0 , 0.00I,999.9, 000000,
154600,99999, 19651212,   44.5, 8,   41.4, 8,  996.6, 8, 9999.9, 0,   5.3, 8,  10.1, 8,  16.9, 999.9,   55.0*,  39.0*, 0.04E,999.9, 010000,
