STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
152920,99999, 19651201,   39.5, 8,   37.5, 8, 1012.5, 8, 9999.9, 0,   5.1, 8,   1.7, 8,   6.0, 999.9,   46.0 ,  32.0*, 0.18F,999.9, 010000,
152920,99999, 19651202,   34.1, 8,   32.7, 8, 1015.3, 8, 9999.9, 0,   5.1, 8,   0.8, 8,   4.1, 999.9,   39.0 ,  30.0 , 0.00I,999.9, 100000,
152920,99999, 19651203,   35.6, 7,   25.3, 7, 1010.3, 7, 9999.9, 0,   5.0, 7,   4.0, 7,  12.0, 999.9,   45.0 ,  30.0 , 0.00I,999.9, 000000,
152920,99999, 19651204,   37.9, 7,   31.2, 7, 1008.1, 7, 9999.9, 0,   6.2, 7,   4.9, 7,   9.9, 999.9,   41.0 ,  34.0 , 0.00I,999.9, 000000,
152920,99999, 19651205,   35.5, 7,   34.7, 7, 1014.1, 7, 9999.9, 0,   3.2, 7,   1.7, 7,  12.0, 999.9,   39.0 ,  28.0 , 0.02E,999.9, 110000,
152920,99999, 19651206,   40.5, 8,   30.0, 8, 1014.0, 8, 9999.9, 0,  10.9, 8,  12.3, 8,  16.9, 999.9,   48.0 ,  28.0 , 0.00I,999.9, 000000,
152920,99999, 19651207,   48.5, 8,   36.6, 8, 1015.3, 8, 9999.9, 0,   7.8, 8,  11.9, 8,  15.9, 999.9,   55.0 ,  43.0 , 0.00I,999.9, 000000,
152920,99999, 19651208,   48.2, 8,   37.6, 8, 1015.2, 8, 9999.9, 0,   7.5, 8,  11.5, 8,  15.9, 999.9,   57.0 ,  39.0*,99.99 ,999.9, 010000,
152920,99999, 19651209,   37.0, 8,   35.5, 8, 1023.0, 8, 9999.9, 0,   2.2, 8,   3.8, 8,  19.0, 999.9,   39.0 ,  34.0 , 0.12F,999.9, 010000,
152920,99999, 19651210,   42.6, 7,   34.1, 7, 1003.8, 7, 9999.9, 0,   6.2, 7,  25.0, 7,  30.9, 999.9,   46.0 ,  36.0 , 0.09F,999.9, 000000,
