STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
151080,99999, 19641201,   34.4, 5,   30.2, 5, 9999.9, 0, 1038.9, 5,  13.7, 5,  36.1, 5,  44.9, 999.9,   39.0 ,  34.0 , 0.02E,999.9, 010000,
151080,99999, 19641208,   18.2, 5,   -9.8, 5, 9999.9, 0,  958.2, 5,   6.2, 5,   7.2, 5,  14.0, 999.9,   23.0 ,   7.0 , 0.00I,999.9, 000000,
151080,99999, 19641209,   26.4, 7,   18.9, 7, 9999.9, 0,  957.6, 7,  20.4, 7,  11.8, 7,  16.9, 999.9,   32.0 ,  21.0 , 0.00I,999.9, 000000,
151080,99999, 19641211,   32.0, 4,    8.7, 4, 9999.9, 0,  955.1, 4,   6.2, 4,  19.9, 4,  22.9, 999.9,   34.0*,  30.0 , 0.00I,999.9, 000000,
151080,99999, 19641212,   29.0, 5,   13.0, 5, 9999.9, 0,  971.6, 5,   9.9, 5,   9.0, 5,  16.9, 999.9,   32.0*,  27.0 , 0.00I,999.9, 000000,
151080,99999, 19641213,   26.8, 6,   19.8, 6, 9999.9, 0, 1047.3, 6,  14.5, 6,  15.9, 6,  22.9, 999.9,   30.0*,  23.0*, 0.00I,999.9, 000000,
151080,99999, 19641214,   30.8, 6,   18.2, 6, 9999.9, 0, 1031.8, 6,  11.4, 6,  25.9, 6,  30.9, 999.9,   36.0*,  23.0 , 0.00I,999.9, 100000,
151080,99999, 19641215,   34.7, 6,   17.8, 6, 9999.9, 0,  952.3, 6,   9.3, 6,  11.8, 6,  36.9, 999.9,   39.0 ,  28.0 , 0.00I,999.9, 000000,
151080,99999, 19641216,   37.2, 8,   25.0, 8, 9999.9, 0,  951.1, 8,  24.1, 8,   9.0, 8,  14.0, 999.9,   43.0 ,  23.0 , 0.00I,999.9, 000000,
151080,99999, 19641217,   36.8, 5,   14.6, 5, 9999.9, 0,  951.8, 5,  31.1, 5,  16.2, 5,  30.9, 999.9,   39.0 ,  34.0 , 0.00I,999.9, 000000,
151080,99999, 19641218,   34.0, 7,   28.6, 7, 9999.9, 0,  965.0, 7,  21.3, 7,  19.3, 7,  30.9, 999.9,   37.0 ,  30.0 , 0.00I,999.9, 100000,
151080,99999, 19641224,   28.4, 5,   21.8, 5, 9999.9, 0,  952.7, 5,  11.2, 5,   8.5, 5,  16.9, 999.9,   43.0 ,  25.0*, 0.00I,999.9, 000000,
151080,99999, 19641225,   31.3, 7,    8.4, 7, 9999.9, 0, 1031.7, 7,  12.4, 7,  25.2, 7,  30.9, 999.9,   36.0 ,  21.0 , 0.00I,999.9, 000000,
151080,99999, 19650108,    8.3, 4,    2.5, 4, 9999.9, 0, 1041.5, 4,   6.2, 4,  44.9, 4,  44.9, 999.9,   10.0 ,   3.0*, 0.00I,999.9, 000000,
151080,99999, 19650109,   17.0, 6,   17.0, 6, 9999.9, 0, 1038.4, 6,   0.1, 6,  64.1, 6,  68.0, 999.9,   25.0*,   5.0 , 0.24E,999.9, 101000,
151080,99999, 19650110,   18.6, 5,   18.6, 5, 9999.9, 0, 1036.1, 5,   0.0, 5,  44.9, 5,  44.9, 999.9,   21.0*,  16.0*, 0.12E,999.9, 100000,
151080,99999, 19650111,   14.0, 7,   14.0, 7, 9999.9, 0, 1020.1, 7,   0.0, 7,  48.6, 7,  57.9, 999.9,   21.0 ,  12.0*, 0.63F,999.9, 100000,
151080,99999, 19650112,   23.7, 6,   23.7, 6, 9999.9, 0,  952.7, 6,  12.4, 6,  22.9, 6,  22.9, 999.9,   30.0*,   9.0 , 0.20E,999.9, 100000,
151080,99999, 19650113,   22.4, 7,   -5.4, 7, 9999.9, 0,  950.7, 7,  20.4, 7,  19.8, 7,  36.9, 999.9,   27.0 ,  18.0 , 0.00I,999.9, 000000,
151080,99999, 19650114,   26.8, 6,   -6.3, 6, 9999.9, 0,  951.5, 6,  12.4, 6,  19.9, 6,  22.9, 999.9,   32.0*,  21.0 , 0.00I,999.9, 000000,
151080,99999, 19650115,   24.0, 7,   -5.4, 7, 9999.9, 0,  952.1, 7,  17.8, 7,  13.7, 7,  16.9, 999.9,   30.0 ,  21.0*, 0.00I,999.9, 000000,
151080,99999, 19650116,   24.6, 7,   -2.3, 7, 9999.9, 0,  950.4, 7,  16.9, 7,   8.1, 7,  16.9, 999.9,   28.0*,  21.0 , 0.00I,999.9, 000000,
151080,99999, 19650117,   24.2, 8,    2.9, 8, 9999.9, 0, 1022.4, 8,  17.1, 8,  29.4, 8,  44.9, 999.9,   28.0 ,  18.0 , 0.00I,999.9, 000000,
151080,99999, 19650118,   26.1, 6,   20.3, 6, 9999.9, 0, 1036.1, 6,  10.4, 6,  34.2, 6,  44.9, 999.9,   28.0 ,  21.0 , 0.00I,999.9, 000000,
151080,99999, 19650119,   17.6, 8,   17.0, 8, 9999.9, 0, 1030.6, 8,   3.4, 8,  35.5, 8,  57.9, 999.9,   28.0 ,  14.0*, 0.02E,999.9, 101000,
151080,99999, 19650120,   25.2, 6,   24.8, 6, 9999.9, 0, 1024.2, 6,   0.0, 6,  45.4, 6,  57.9, 999.9,   28.0 ,  14.0 , 0.28F,999.9, 001000,
151080,99999, 19650121,   16.7, 6,   15.0, 6, 9999.9, 0, 1028.0, 6,   4.1, 6,  56.8, 6,  68.0, 999.9,   25.0 ,  12.0*, 0.20E,999.9, 101000,
151080,99999, 19650122,   26.0, 7,   21.9, 7, 9999.9, 0, 1041.2, 7,   5.3, 7,  33.2, 7,  44.9, 999.9,   32.0 ,  12.0 , 0.00I,999.9, 100000,
151080,99999, 19650123,   26.8, 6,   26.8, 6, 9999.9, 0, 1044.2, 6,   2.1, 6,  44.9, 6,  44.9, 999.9,   28.0*,  25.0 , 0.00I,999.9, 100000,
151080,99999, 19650130,   28.8, 5,   28.8, 5, 9999.9, 0, 1047.9, 5,   0.1, 5,  40.1, 5,  44.9, 999.9,   30.0 ,  28.0*, 0.00I,999.9, 100000,
151080,99999, 19650131,   30.5, 8,   30.0, 8, 9999.9, 0, 1045.1, 8,   0.0, 8,  61.2, 8,  76.0, 999.9,   34.0*,  28.0 ,99.99 ,999.9, 101000,
151080,99999, 19650201,   28.0, 6,   28.0, 6, 9999.9, 0, 1041.6, 6,   0.0, 6,  58.3, 6,  76.0, 999.9,   32.0 ,  23.0*, 0.02E,999.9, 101000,
151080,99999, 19650202,    8.2, 5,    8.0, 5, 9999.9, 0, 1043.7, 5,   0.0, 5,   4.8, 5,  14.0, 999.9,   12.0*,   3.0*,99.99 ,999.9, 001000,
151080,99999, 19650203,    1.2, 5,    1.2, 5, 9999.9, 0, 1045.2, 5,   1.2, 5,  21.5, 5,  30.9, 999.9,    7.0 ,   0.0*, 0.20F,999.9, 101000,
151080,99999, 19650204,    6.0, 5,    3.8, 5, 9999.9, 0, 1042.7, 5,   0.3, 5,  26.5, 5,  36.9, 999.9,   14.0*,   1.0*, 0.00I,999.9, 100000,
151080,99999, 19650205,   -0.6, 7,   -2.0, 7, 9999.9, 0, 1038.3, 7,   3.6, 7,  12.8, 7,  36.9, 999.9,    7.0 ,  -8.0*, 0.30F,999.9, 101000,
151080,99999, 19650206,  -14.6, 5,  -15.0, 5, 9999.9, 0, 1039.0, 5,   2.2, 5,   7.8, 5,  16.9, 999.9,   -4.0 , -17.0*, 0.00I,999.9, 100000,
151080,99999, 19650212,    7.7, 6,    0.2, 6, 9999.9, 0, 1048.0, 6,   6.2, 6,  12.9, 6,  36.9, 999.9,   16.0 ,   3.0*, 0.00I,999.9, 100000,
151080,99999, 19650213,   13.0, 4,    2.3, 4, 9999.9, 0, 1043.5, 4,   2.8, 4,  13.9, 4,  22.9, 999.9,   18.0 ,  10.0*, 0.00I,999.9, 000000,
151080,99999, 19650214,   11.8, 5,   11.8, 5, 9999.9, 0, 1037.3, 5,   0.3, 5,  62.5, 5,  76.0, 999.9,   16.0 ,   9.0*, 0.00I,999.9, 100000,
151080,99999, 19650215,   16.7, 4,   16.7, 4, 9999.9, 0, 1041.2, 4,   0.3, 4,   4.0, 4,  14.0, 999.9,   21.0 ,  14.0*, 0.02E,999.9, 101000,
151080,99999, 19650216,   17.5, 6,   14.0, 6, 9999.9, 0, 1037.1, 6,   0.8, 6,  28.2, 6,  36.9, 999.9,   25.0 ,   1.0 , 0.28E,999.9, 101000,
151080,99999, 19650217,   17.4, 5,   17.4, 5, 9999.9, 0, 1035.5, 5,   0.0, 5,  12.0, 5,  22.9, 999.9,   21.0*,  12.0*, 0.08E,999.9, 101000,
151080,99999, 19650218,   15.4, 7,   15.4, 7, 9999.9, 0, 1037.8, 7,   0.1, 7,   2.8, 7,  14.0, 999.9,   19.0 ,  10.0 , 0.16F,999.9, 101000,
151080,99999, 19650219,   10.3, 7,   10.3, 7, 9999.9, 0, 1042.1, 7,   0.0, 7,   8.7, 7,  16.9, 999.9,   18.0 ,   7.0 , 0.16F,999.9, 101000,
151080,99999, 19650220,    8.3, 6,    8.3, 6, 9999.9, 0, 1048.6, 6,   0.0, 6,  36.6, 6,  50.9, 999.9,   10.0 ,   5.0 , 0.08E,999.9, 101000,
151080,99999, 19650221,   11.1, 7,   11.1, 7, 9999.9, 0, 1046.8, 7,   0.1, 7,  25.1, 7,  30.9, 999.9,   18.0 ,   5.0 , 0.08E,999.9, 100000,
151080,99999, 19650222,    9.0, 5,    7.2, 5, 9999.9, 0, 1038.7, 5,   0.2, 5,  40.3, 5,  68.0, 999.9,   12.0 ,   7.0*,99.99 ,999.9, 101000,
151080,99999, 19650223,   -0.6, 8,   -0.8, 8, 9999.9, 0, 1039.9, 8,   1.0, 8,  34.4, 8, 999.9, 999.9,    7.0 ,  -6.0 , 0.12F,999.9, 101000,
151080,99999, 19650225,    6.9, 7,    5.5, 6, 9999.9, 0, 1035.4, 7,   3.6, 7,  47.0, 7,  62.0, 999.9,   14.0 ,  -2.0 , 0.00I,999.9, 100000,
151080,99999, 19650226,    0.3, 7,   -2.1, 7, 9999.9, 0, 1036.2, 7,   0.5, 7,  42.9, 7,  76.0, 999.9,    9.0 ,  -4.0*, 0.12F,999.9, 101000,
151080,99999, 19650227,    7.4, 8,    3.0, 8, 9999.9, 0, 1033.2, 8,   4.7, 8,  39.9, 8,  69.9, 999.9,   14.0 ,  -6.0 , 0.02E,999.9, 101000,
151080,99999, 19650228,   -0.3, 6,   -0.9, 6, 9999.9, 0, 1035.6, 6,   1.0, 6,  67.5, 6,  76.0, 999.9,   10.0 ,  -4.0 , 0.20E,999.9, 101000,
151080,99999, 19650301,    9.9, 8,   -3.5, 8, 9999.9, 0, 1044.9, 8,  14.8, 8,  34.0, 8,  57.9, 999.9,   21.0*,  -6.0 , 0.00I,999.9, 100000,
151080,99999, 19650302,   27.2, 6,   21.5, 6, 9999.9, 0, 1039.2, 6,   4.7, 6,  49.6, 6,  68.0, 999.9,   30.0*,  16.0 ,99.99 ,999.9, 111000,
151080,99999, 19650303,   28.8, 6,   24.7, 6, 9999.9, 0, 1033.7, 6,  11.9, 6,  57.6, 6,  94.0, 999.9,   30.0*,  25.0 , 0.08E,999.9, 101000,
151080,99999, 19650304,   20.5, 4,   20.5, 4, 9999.9, 0, 1034.7, 4,   0.0, 4,  54.9, 4,  62.0, 999.9,   23.0*,  18.0 ,99.99 ,999.9, 101000,
151080,99999, 19650305,   19.9, 7,   17.6, 7, 9999.9, 0, 1042.7, 7,   4.8, 7,  45.8, 7,  74.0, 999.9,   25.0 ,  10.0 , 0.00I,999.9, 100000,
151080,99999, 19650306,   25.0, 5,   19.4, 5, 9999.9, 0, 1045.0, 5,   8.7, 5,   8.2, 5,  16.9, 999.9,   27.0*,  12.0 , 0.00I,999.9, 100000,
151080,99999, 19650307,   19.5, 4,   19.5, 4, 9999.9, 0, 1048.2, 4,   3.2, 4,  11.0, 4,  14.0, 999.9,   30.0 ,  18.0 , 0.02E,999.9, 101000,
151080,99999, 19650308,   18.0, 6,   18.0, 6, 9999.9, 0, 1048.5, 6,   1.0, 6,   8.3, 6,  22.9, 999.9,   21.0 ,  16.0*,99.99 ,999.9, 101000,
151080,99999, 19650309,   18.5, 6,   16.2, 6, 9999.9, 0, 1048.0, 6,   0.9, 6,   1.3, 6,   8.0, 999.9,   32.0 ,  14.0 , 0.12F,999.9, 101000,
151080,99999, 19650310,   11.1, 7,   10.6, 7, 9999.9, 0, 1021.2, 7,   0.4, 7,   7.7, 7,  14.0, 999.9,   18.0 ,   3.0 , 0.04E,999.9, 101000,
151080,99999, 19650311,   11.1, 7,    1.4, 7, 9999.9, 0,  954.3, 7,   8.2, 7,  22.6, 7,  36.9, 999.9,   18.0 ,   1.0 , 0.00I,999.9, 100000,
151080,99999, 19650312,   20.3, 8,   -1.5, 8, 9999.9, 0,  955.1, 8,   9.5, 8,  15.6, 8,  22.9, 999.9,   25.0 ,   7.0 , 0.00I,999.9, 000000,
151080,99999, 19650313,   24.3, 7,   -1.7, 7, 9999.9, 0,  954.8, 7,  17.8, 7,  13.0, 7,  22.9, 999.9,   32.0 ,  18.0 , 0.00I,999.9, 000000,
151080,99999, 19650314,   25.9, 7,    2.6, 7, 9999.9, 0,  956.6, 7,  13.3, 7,  10.0, 7,  16.9, 999.9,   32.0*,  21.0 , 0.00I,999.9, 000000,
151080,99999, 19650315,   28.8, 5,   11.0, 5, 9999.9, 0,  955.7, 5,   6.2, 5,  10.2, 5,  16.9, 999.9,   36.0 ,  19.0 , 0.00I,999.9, 000000,
151080,99999, 19650316,   29.3, 6,   20.8, 6, 9999.9, 0,  954.4, 6,   5.6, 6,  11.8, 6,  22.9, 999.9,   36.0*,  23.0 , 0.00I,999.9, 000000,
151080,99999, 19650317,   31.0, 6,   22.0, 6, 9999.9, 0,  983.1, 6,   6.2, 6,   6.7, 6,  14.0, 999.9,   37.0 ,  23.0 , 0.00I,999.9, 000000,
