STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
151200,99999, 19521202,   40.0, 4,   40.0, 4, 1013.0, 4, 9999.9, 0,   3.1, 4,   1.0, 4,   4.1, 999.9,   43.0*,  37.0 , 0.28F,999.9, 010000,
151200,99999, 19521204,   31.5, 4,   31.0, 4, 1012.6, 4, 9999.9, 0,   3.0, 4,   2.0, 4,   8.0, 999.9,   32.0 ,  30.0 , 0.38F,999.9, 011000,
151200,99999, 19521205,   30.5, 4,   28.5, 4, 1026.8, 4, 9999.9, 0,   2.5, 4,   3.5, 4,   8.0, 999.9,   36.0*,  27.0 , 0.04E,999.9, 001000,
151200,99999, 19521206,   27.3, 4,   26.0, 4, 1034.7, 4, 9999.9, 0,   3.4, 4,   4.0, 4,   9.9, 999.9,   30.0*,  23.0*, 0.02E,999.9, 001000,
151200,99999, 19521207,   22.8, 4,   19.0, 4, 1031.2, 4, 9999.9, 0,   2.5, 4,   0.0, 4, 999.9, 999.9,   30.0 ,  19.0*, 0.00I,999.9, 000000,
151200,99999, 19521209,   28.5, 4,   25.7, 4, 1029.8, 4, 9999.9, 0,   4.8, 4,   0.0, 4, 999.9, 999.9,   32.0 ,  25.0 , 0.00I,999.9, 000000,
151200,99999, 19521210,   25.2, 4,   24.5, 4, 1033.5, 4, 9999.9, 0,   2.5, 4,   2.0, 4,   4.1, 999.9,   28.0*,  23.0*, 0.00I,999.9, 000000,
151200,99999, 19521211,   20.7, 4,   20.7, 4, 1029.5, 4, 9999.9, 0,   1.9, 4,   1.5, 4,   6.0, 999.9,   25.0 ,  16.0 , 0.00I,999.9, 100000,
151200,99999, 19521212,   19.0, 4,   19.0, 4, 1020.6, 4, 9999.9, 0,   0.5, 4,   1.0, 4,   4.1, 999.9,   25.0 ,  14.0 , 0.00I,999.9, 100000,
151200,99999, 19521213,   28.8, 4,   24.3, 4, 1009.7, 4, 9999.9, 0,   3.0, 4,   4.5, 4,   8.0, 999.9,   37.0 ,  21.0 , 0.02E,999.9, 100000,
151200,99999, 19521214,   37.8, 4,   32.0, 4, 1004.2, 4, 9999.9, 0,   4.3, 4,   2.5, 4,   4.1, 999.9,   46.0 ,  34.0*, 0.00I,999.9, 000000,
151200,99999, 19521217,   34.2, 4,   28.3, 4, 1002.4, 4, 9999.9, 0,   6.8, 4,   1.5, 4,   6.0, 999.9,   37.0 ,  32.0 , 0.02E,999.9, 000000,
151200,99999, 19521221,   38.5, 4,   38.0, 4, 1012.2, 4, 9999.9, 0,   1.8, 4,   2.0, 4,   4.1, 999.9,   41.0 ,  36.0 , 0.04E,999.9, 000000,
151200,99999, 19521222,   36.5, 4,   36.0, 4, 1007.5, 4, 9999.9, 0,   2.5, 4,   8.5, 4,  14.0, 999.9,   39.0 ,  36.0*, 0.04F,999.9, 010000,
151200,99999, 19521226,   30.0, 4,   30.0, 4, 1023.8, 4, 9999.9, 0,   1.1, 4,   0.0, 4, 999.9, 999.9,   32.0 ,  28.0 , 0.00I,999.9, 000000,
151200,99999, 19521227,   32.5, 4,   32.5, 4, 1016.5, 4, 9999.9, 0,   1.1, 4,   2.5, 4,   6.0, 999.9,   36.0 ,  28.0*, 0.00I,999.9, 000000,
151200,99999, 19521230,   38.3, 4,   38.3, 4, 1015.4, 4, 9999.9, 0,   0.8, 4,   1.0, 4,   4.1, 999.9,   43.0 ,  36.0 , 0.05F,999.9, 100000,
151200,99999, 19530101,   43.2, 4,   37.8, 4, 1007.6, 4, 9999.9, 0,   6.2, 4,   6.5, 4,   9.9, 999.9,   46.0 ,  39.0 , 0.00I,999.9, 000000,
151200,99999, 19530105,   31.2, 4,   27.8, 4, 1016.5, 4, 9999.9, 0,   3.0, 4,   3.0, 4,   9.9, 999.9,   36.0 ,  21.0*, 0.00I,999.9, 000000,
151200,99999, 19530106,   34.0, 4,   31.2, 4, 1014.7, 4, 9999.9, 0,   3.4, 4,   6.5, 4,   9.9, 999.9,   39.0 ,  30.0 , 0.00I,999.9, 000000,
151200,99999, 19530107,   40.5, 4,   33.0, 4, 1006.6, 4, 9999.9, 0,   7.8, 4,   8.4, 4,   9.9, 999.9,   43.0*,  34.0 , 0.02E,999.9, 010000,
151200,99999, 19530108,   37.3, 4,   33.8, 4, 1007.1, 4, 9999.9, 0,   6.2, 4,   1.5, 4,   6.0, 999.9,   45.0 ,  34.0 , 0.00I,999.9, 000000,
151200,99999, 19530111,   28.3, 4,   24.0, 4, 1013.7, 4, 9999.9, 0,   6.2, 4,  12.2, 4,  19.0, 999.9,   30.0 ,  25.0 , 0.02E,999.9, 000000,
151200,99999, 19530112,   28.5, 4,   24.0, 4, 1022.9, 4, 9999.9, 0,   6.2, 4,   5.0, 4,   9.9, 999.9,   32.0 ,  27.0 , 0.00I,999.9, 000000,
151200,99999, 19530113,   25.2, 4,   23.5, 4, 1027.0, 4, 9999.9, 0,   2.2, 4,   1.0, 4,   4.1, 999.9,   30.0 ,  21.0 , 0.08E,999.9, 001000,
151200,99999, 19530114,   21.7, 4,   19.5, 4, 1025.5, 4, 9999.9, 0,   2.2, 4,   0.0, 4, 999.9, 999.9,   30.0 ,  16.0*, 0.00I,999.9, 000000,
151200,99999, 19530115,   13.8, 4,   13.0, 4, 9999.9, 0, 9999.9, 0,   1.6, 4,   0.0, 4, 999.9, 999.9,   19.0*,  -9.0 , 0.00I,999.9, 000000,
151200,99999, 19530116,   11.0, 4,   11.0, 4, 1027.2, 4, 9999.9, 0,   0.3, 4,   0.0, 4, 999.9, 999.9,   16.0 ,   5.0 , 0.08E,999.9, 100000,
151200,99999, 19530118,   11.8, 4,    7.2, 4, 1032.1, 4, 9999.9, 0, 999.9, 0,   0.0, 4, 999.9, 999.9,   18.0 ,   9.0*, 0.00I,999.9, 100000,
151200,99999, 19530121,   15.5, 4,   15.5, 4, 1030.7, 4, 9999.9, 0,   0.8, 4,   0.0, 4, 999.9, 999.9,   21.0 ,   5.0 , 0.00I,999.9, 100000,
151200,99999, 19530123,   24.5, 4,   23.5, 4, 1017.5, 4, 9999.9, 0,   2.5, 4,   2.0, 4,   8.0, 999.9,   30.0 ,  23.0 , 0.35F,999.9, 001000,
