STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
154800,99999, 19521201,   47.5, 4,   46.5, 4, 1016.4, 4, 9999.9, 0,   3.3, 4,   3.5, 4,   6.0, 999.9,   52.0 ,  45.0 , 0.00I,999.9, 100000,
154800,99999, 19521202,   40.5, 4,   40.5, 4, 1015.3, 4, 9999.9, 0,   5.3, 4,  11.2, 4,  16.9, 999.9,   43.0 ,  37.0 , 0.04E,999.9, 010000,
154800,99999, 19521204,   46.5, 4,   46.5, 4, 1010.0, 4, 9999.9, 0,   1.6, 4,   6.0, 4,  12.0, 999.9,   52.0 ,  36.0 , 0.14F,999.9, 110000,
154800,99999, 19521206,   32.5, 4,   31.2, 4, 1033.4, 4, 9999.9, 0,   2.8, 4,  18.3, 4,  19.0, 999.9,   37.0 ,  28.0 , 0.31F,999.9, 011000,
154800,99999, 19521207,   33.0, 4,   32.0, 4, 1027.9, 4, 9999.9, 0,   4.3, 4,  13.3, 4,  19.0, 999.9,   34.0 ,  30.0 , 0.06F,999.9, 010000,
154800,99999, 19521208,   28.0, 4,   25.8, 4, 1031.5, 4, 9999.9, 0,   3.8, 4,  19.2, 4,  22.9, 999.9, 9999.9 ,  27.0 , 0.06F,999.9, 001000,
154800,99999, 19521209,   28.5, 4,   25.5, 4, 1027.9, 4, 9999.9, 0,   6.8, 4,   8.0, 4,  12.0, 999.9,   30.0 ,  27.0 , 0.02E,999.9, 000000,
154800,99999, 19521210,   28.8, 4,   27.5, 4, 1032.4, 4, 9999.9, 0,   5.3, 4,   9.9, 4,   9.9, 999.9,   34.0 ,  23.0 ,99.99 ,999.9, 001000,
154800,99999, 19521211,   32.3, 4,   29.8, 4, 1030.2, 4, 9999.9, 0,   8.4, 4,   3.4, 4,   8.0, 999.9,   37.0 ,  28.0 , 0.00I,999.9, 000000,
154800,99999, 19521213,   27.0, 4, 9999.9, 0, 1013.2, 4, 9999.9, 0, 999.9, 0,   1.0, 4,   4.1, 999.9,   30.0 ,  25.0*, 0.00I,999.9, 100000,
154800,99999, 19521217,   46.3, 4, 9999.9, 0, 1005.9, 4, 9999.9, 0,   5.3, 4,   9.0, 4,  14.0, 999.9,   59.0*,  37.0*, 0.12E,999.9, 010000,
154800,99999, 19521218,   43.5, 4,   40.0, 4, 1009.1, 4, 9999.9, 0,   9.3, 4,   7.0, 4,   9.9, 999.9,   54.0 ,  36.0 , 0.00I,999.9, 000000,
154800,99999, 19521219,   47.5, 4,   46.3, 4, 1014.2, 4, 9999.9, 0,   9.3, 4,   7.0, 4,   9.9, 999.9,   55.0 ,  45.0 , 0.00I,999.9, 000000,
154800,99999, 19521221,   41.5, 4,   41.5, 4, 1010.0, 4, 9999.9, 0,   4.7, 4,  12.5, 4,  15.9, 999.9,   46.0*,  36.0*, 0.02E,999.9, 010000,
