STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
152300,99999, 19521206,   32.5, 4,   28.5, 4, 1031.7, 4, 9999.9, 0,   7.5, 4,   5.0, 4,  14.0, 999.9,   36.0 ,  30.0 , 0.10F,999.9, 001000,
152300,99999, 19521207,   31.5, 4,   25.0, 4, 1028.5, 4, 9999.9, 0,  10.9, 4,   2.5, 4,   4.1, 999.9,   36.0 ,  19.0 , 0.02E,999.9, 000000,
152300,99999, 19521208,   31.0, 4,   29.3, 4, 1030.8, 4, 9999.9, 0,   8.4, 4,   3.5, 4,   8.0, 999.9,   32.0*,  28.0 , 0.04E,999.9, 001000,
152300,99999, 19521211,   23.5, 4,   22.7, 4, 1028.2, 4, 9999.9, 0,   0.9, 4,   1.0, 4,   1.9, 999.9,   30.0 ,  19.0 , 0.00I,999.9, 100000,
152300,99999, 19521212,   21.7, 4,   21.2, 4, 1020.3, 4, 9999.9, 0,   2.0, 4,   0.5, 4,   1.9, 999.9,   27.0 ,  16.0 , 0.00I,999.9, 100000,
152300,99999, 19521213,   27.8, 4, 9999.9, 0, 1010.3, 4, 9999.9, 0,   4.3, 4,   0.5, 4,   1.9, 999.9,   37.0 ,  19.0 , 0.00I,999.9, 000000,
152300,99999, 19521214,   34.2, 4,   33.8, 4, 1004.8, 4, 9999.9, 0,   5.4, 4,   0.0, 4, 999.9, 999.9,   43.0 ,  28.0 , 0.12F,999.9, 110000,
152300,99999, 19521215,   43.5, 4,   37.8, 4, 9999.9, 0, 9999.9, 0,  13.0, 4,   2.0, 4,   8.0, 999.9,   57.0 ,  32.0 , 0.43F,999.9, 010000,
152300,99999, 19521216,   42.8, 4,   37.8, 4, 9999.9, 0, 9999.9, 0,   6.8, 4,   5.5, 4,  14.0, 999.9,   50.0 ,  32.0 , 0.20F,999.9, 010000,
152300,99999, 19521221,   39.5, 4,   38.5, 4, 1012.3, 4, 9999.9, 0,   5.9, 4,   0.0, 4, 999.9, 999.9,   45.0 ,  36.0 , 0.01E,999.9, 010000,
152300,99999, 19521222,   37.5, 4,   37.5, 4, 1007.0, 4, 9999.9, 0,   2.5, 4,   0.5, 4,   1.9, 999.9,   39.0 ,  36.0 , 0.31F,999.9, 010000,
152300,99999, 19521223,   38.5, 4,   36.5, 4, 1013.7, 4, 9999.9, 0,   4.3, 4,   0.0, 4, 999.9, 999.9,   43.0 ,  36.0 , 0.06F,999.9, 010000,
152300,99999, 19521224,   39.0, 4,   35.7, 4, 1019.8, 4, 9999.9, 0,   5.3, 4,   0.5, 4,   1.9, 999.9,   46.0 ,  36.0 , 0.02E,999.9, 000000,
152300,99999, 19521226,   32.5, 4,   32.5, 4, 1023.4, 4, 9999.9, 0,   4.3, 4,   1.9, 4,   1.9, 999.9,   36.0 ,  30.0 , 0.00I,999.9, 000000,
152300,99999, 19521227,   34.5, 4,   34.5, 4, 1017.6, 4, 9999.9, 0,   3.4, 4,   1.5, 4,   4.1, 999.9,   37.0 ,  30.0 , 0.00I,999.9, 000000,
152300,99999, 19521228,   38.8, 4,   37.0, 4, 1012.2, 4, 9999.9, 0,   7.0, 4,   3.0, 4,   8.0, 999.9,   50.0 ,  32.0 , 0.05F,999.9, 000000,
152300,99999, 19521229,   43.2, 4,   42.5, 4, 9999.9, 0, 9999.9, 0,   9.3, 4,   1.0, 4,   4.1, 999.9,   50.0 ,  37.0 , 0.06F,999.9, 000000,
