STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
154100,99999, 19521202,   42.0, 4,   41.5, 4, 1014.4, 4, 9999.9, 0,   4.0, 4,   0.0, 4, 999.9, 999.9,   46.0 ,  39.0*, 0.52F,999.9, 010000,
154100,99999, 19521203,   36.0, 4,   35.7, 4, 1012.1, 4, 9999.9, 0,   5.6, 4,   0.0, 4, 999.9, 999.9,   39.0 ,  32.0 , 0.31F,999.9, 010000,
154100,99999, 19521204,   37.5, 4,   36.3, 4, 1011.1, 4, 9999.9, 0,   6.1, 4,   1.0, 4,   1.9, 999.9,   41.0 ,  36.0 , 0.67F,999.9, 010000,
154100,99999, 19521208,   27.7, 4,   26.7, 4, 1034.5, 4, 9999.9, 0,   3.8, 4,   1.0, 4,   4.1, 999.9,   30.0*,  27.0 , 0.35F,999.9, 001000,
154100,99999, 19521209,   26.7, 4,   24.0, 4, 1030.4, 4, 9999.9, 0,   5.0, 4,   0.0, 4, 999.9, 999.9,   32.0 ,  23.0 , 0.00I,999.9, 000000,
154100,99999, 19521210,   28.8, 4,   26.0, 4, 1035.4, 4, 9999.9, 0,   3.4, 4,   0.0, 4, 999.9, 999.9,   32.0 ,  27.0 , 0.00I,999.9, 000000,
154100,99999, 19521211,   28.8, 4,   23.5, 4, 1031.6, 4, 9999.9, 0,   3.4, 4,   0.0, 4, 999.9, 999.9,   32.0 ,  27.0 , 0.00I,999.9, 000000,
154100,99999, 19521212,   26.2, 4, 9999.9, 0, 1022.5, 4, 9999.9, 0,   3.3, 4,   0.0, 4, 999.9, 999.9,   30.0 ,  21.0 , 0.00I,999.9, 000000,
154100,99999, 19521215,   37.0, 4,   35.2, 4, 1004.7, 4, 9999.9, 0,   4.7, 4,   0.0, 4, 999.9, 999.9,   48.0 ,  32.0 , 0.35F,999.9, 010000,
154100,99999, 19521217,   35.7, 4,   27.2, 4, 1006.9, 4, 9999.9, 0,   8.1, 4,   3.5, 4,   9.9, 999.9,   39.0 ,  34.0 , 0.00I,999.9, 000000,
154100,99999, 19521218,   36.0, 4,   33.8, 4, 1007.5, 4, 9999.9, 0,   9.2, 4,   1.0, 4,   4.1, 999.9,   43.0 ,  30.0 , 0.12E,999.9, 001000,
154100,99999, 19521219,   38.5, 4,   38.5, 4, 1011.5, 4, 9999.9, 0,   2.2, 4,   0.0, 4, 999.9, 999.9,   46.0 ,  34.0 , 0.04E,999.9, 000000,
154100,99999, 19521222,   40.5, 4,   39.5, 4, 1004.9, 4, 9999.9, 0,   3.6, 4,   1.5, 4,   6.0, 999.9,   41.0*,  39.0*, 0.31F,999.9, 010000,
154100,99999, 19521223,   39.0, 4,   36.0, 4, 1012.4, 4, 9999.9, 0,   3.3, 4,   2.5, 4,   9.9, 999.9,   43.0 ,  36.0 , 0.01E,999.9, 010000,
154100,99999, 19521224,   39.5, 4,   32.5, 4, 1016.9, 4, 9999.9, 0,   8.2, 4,   7.5, 4,  15.9, 999.9,   43.0 ,  36.0 , 0.00I,999.9, 000000,
154100,99999, 19521226,   39.5, 4,   35.7, 4, 1021.9, 4, 9999.9, 0,   5.3, 4,   0.0, 4, 999.9, 999.9,   46.0 ,  36.0 , 0.00I,999.9, 000000,
