STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
153100,99999, 19531201,   46.0, 4,   41.2, 4, 1024.3, 4, 9999.9, 0,   7.1, 4,  11.0, 4,  12.0, 999.9,   52.0*,  39.0 , 0.00I,999.9, 000000,
153100,99999, 19531203,   37.5, 4, 9999.9, 0, 1030.7, 4, 9999.9, 0,   5.9, 4,   6.5, 4,  12.0, 999.9,   50.0 ,  28.0*, 0.00I,999.9, 100000,
153100,99999, 19531204,   44.2, 4,   41.3, 4, 1028.2, 4, 9999.9, 0,   8.2, 4,  12.5, 4,  14.0, 999.9,   54.0*,  37.0*, 0.00I,999.9, 000000,
153100,99999, 19531205,   34.0, 4,   34.0, 4, 1027.1, 4, 9999.9, 0,   4.4, 4,   5.5, 4,   9.9, 999.9,   36.0 ,  30.0 , 0.00I,999.9, 100000,
153100,99999, 19531206,   32.0, 4,   32.0, 4, 1030.1, 4, 9999.9, 0,   1.5, 4,   3.5, 4,   8.0, 999.9,   43.0 ,  19.0 , 0.00I,999.9, 100000,
153100,99999, 19531207,   34.7, 4,   31.8, 4, 1039.0, 4, 9999.9, 0,   8.5, 4,  10.5, 4,  14.0, 999.9,   37.0 ,  30.0 , 0.00I,999.9, 000000,
153100,99999, 19531208,   31.5, 4,   27.0, 4, 9999.9, 0, 9999.9, 0,  13.4, 4,   5.5, 4,   8.0, 999.9,   37.0 ,  27.0 , 0.00I,999.9, 000000,
153100,99999, 19531209,   35.2, 4,   31.0, 4, 1036.3, 4, 9999.9, 0,  11.7, 4,  10.5, 4,  14.0, 999.9,   45.0 ,  27.0 , 0.00I,999.9, 000000,
153100,99999, 19531210,   42.0, 4,   38.3, 4, 1033.0, 4, 9999.9, 0,  15.7, 4,   5.0, 4,   9.9, 999.9,   46.0 ,  34.0 , 0.00I,999.9, 000000,
153100,99999, 19531211,   38.5, 4,   35.2, 4, 1035.2, 4, 9999.9, 0,   5.6, 4,   3.0, 4,   6.0, 999.9,   41.0 ,  32.0 , 0.00I,999.9, 000000,
153100,99999, 19531214,   20.8, 4,   19.8, 4, 1040.9, 4, 9999.9, 0,   7.5, 4,  13.5, 4,  15.9, 999.9,   23.0 ,  14.0 , 0.00I,999.9, 000000,
153100,99999, 19531215,   23.0, 4,   23.0, 4, 1039.0, 4, 9999.9, 0,   4.2, 4,  13.5, 4,  15.9, 999.9,   27.0 ,  18.0 , 0.01E,999.9, 001000,
153100,99999, 19531216,   23.5, 4,   23.0, 4, 1038.5, 4, 9999.9, 0,   8.5, 4,  15.7, 4,  16.9, 999.9,   27.0 ,  21.0 , 0.02E,999.9, 001000,
153100,99999, 19531217,   24.8, 4,   23.0, 4, 1036.9, 4, 9999.9, 0, 999.9, 0,  18.0, 4,  22.9, 999.9,   30.0*,  21.0 , 0.05F,999.9, 001000,
153100,99999, 19531219,   17.7, 4,   17.7, 4, 9999.9, 0, 9999.9, 0,   5.6, 4, 999.9, 0, 999.9, 999.9,   25.0 ,  12.0 , 0.04F,999.9, 001000,
153100,99999, 19531220,   20.3, 4,   19.3, 4, 1034.4, 4, 9999.9, 0,   3.6, 4,   4.5, 4,   8.0, 999.9,   27.0 ,  16.0 , 0.00I,999.9, 000000,
153100,99999, 19531221,   24.8, 4,   24.3, 4, 1033.9, 4, 9999.9, 0,   2.8, 4,  11.5, 4,  14.0, 999.9,   32.0 ,  16.0 , 0.00I,999.9, 000000,
153100,99999, 19531224,   27.0, 4,   27.0, 4, 1020.2, 4, 9999.9, 0,   1.4, 4,  10.0, 4,  14.0, 999.9,   28.0 ,  23.0 , 0.20F,999.9, 001000,
153100,99999, 19531226,   18.0, 4,   18.0, 4, 1028.7, 4, 9999.9, 0, 999.9, 0,   3.5, 4,   8.0, 999.9,   23.0 ,  14.0 , 0.00I,999.9, 100000,
153100,99999, 19531227,   17.5, 4,   17.5, 4, 1026.6, 4, 9999.9, 0,   0.6, 4,   5.5, 4,  14.0, 999.9,   21.0 ,  10.0 , 0.00I,999.9, 100000,
153100,99999, 19531228,   12.0, 4,   11.5, 4, 1017.0, 4, 9999.9, 0,   0.9, 4,   5.0, 4,   8.0, 999.9, 9999.9 ,9999.9 , 0.00I,999.9, 100000,
153100,99999, 19531229,   20.8, 4,   20.3, 4, 9999.9, 0, 9999.9, 0,   1.5, 4,   2.0, 4,   4.1, 999.9,   30.0*,   7.0 , 0.00I,999.9, 100000,
153100,99999, 19531230,   33.0, 4,   33.0, 4, 1009.0, 4, 9999.9, 0,   3.0, 4,  11.0, 4,  15.9, 999.9,   37.0 ,  32.0*, 0.16E,999.9, 010000,
153100,99999, 19531231,   32.0, 4,   32.0, 4, 1007.8, 4, 9999.9, 0,   2.3, 4,  15.9, 4,  15.9, 999.9,   34.0*,  30.0 , 0.57F,999.9, 010000,
153100,99999, 19540101,   28.0, 4,   28.0, 4, 1016.4, 4, 9999.9, 0,   2.6, 4,  24.2, 4,  30.9, 999.9,   30.0 ,  25.0*, 0.04E,999.9, 001000,
153100,99999, 19540102,   20.0, 4,   19.0, 4, 1025.8, 4, 9999.9, 0,   1.8, 4,  21.2, 4,  30.9, 999.9,   32.0*,  14.0*, 0.08E,999.9, 001000,
153100,99999, 19540103,   13.2, 4,   11.3, 4, 1019.6, 4, 9999.9, 0,   9.8, 4,  11.7, 4,  22.9, 999.9,   18.0 ,   0.0 , 0.02E,999.9, 001000,
153100,99999, 19540104,   16.0, 4,   13.2, 4, 1018.5, 4, 9999.9, 0, 999.9, 0,   6.9, 4,   9.9, 999.9,   25.0*,   9.0*, 0.02E,999.9, 001000,
153100,99999, 19540105,    4.5, 4,    4.5, 4, 1029.8, 4, 9999.9, 0,   3.0, 4,  13.0, 4,  14.0, 999.9,   12.0 ,   0.0 , 0.00I,999.9, 100000,
153100,99999, 19540106,    6.5, 4,    5.8, 4, 1027.5, 4, 9999.9, 0,   2.8, 4,  12.5, 4,  14.0, 999.9,   14.0 ,  -2.0 , 0.00I,999.9, 100000,
153100,99999, 19540107,   16.5, 4,   16.5, 4, 1017.4, 4, 9999.9, 0,   1.5, 4,  10.0, 4,  14.0, 999.9,   23.0 ,   7.0 , 0.00I,999.9, 100000,
153100,99999, 19540109,   13.0, 4,   13.0, 4, 1021.5, 4, 9999.9, 0,   3.4, 4,   7.0, 4,   9.9, 999.9,   16.0 ,  10.0*, 0.04E,999.9, 000000,
153100,99999, 19540110,   14.0, 4,   14.0, 4, 1007.8, 4, 9999.9, 0, 999.9, 0,   2.0, 4,   4.1, 999.9,   19.0 ,  10.0 , 0.00I,999.9, 000000,
153100,99999, 19540111,   14.3, 4,   13.8, 4, 1001.8, 4, 9999.9, 0, 999.9, 0,   0.5, 4,   1.9, 999.9,   21.0*,  10.0 , 0.00I,999.9, 000000,
153100,99999, 19540112,   11.3, 4,    6.5, 4, 1009.1, 4, 9999.9, 0,   1.1, 4,   2.5, 4,   6.0, 999.9,   14.0*,   7.0 , 0.00I,999.9, 100000,
153100,99999, 19540114,   14.8, 4,   14.8, 4, 1022.8, 4, 9999.9, 0,   2.5, 4,   7.5, 4,  12.0, 999.9,   19.0*,  10.0 , 0.00I,999.9, 000000,
153100,99999, 19540115,   22.0, 4,   21.5, 4, 1024.7, 4, 9999.9, 0, 999.9, 0,   4.5, 4,   6.0, 999.9,   36.0 ,   9.0 , 0.00I,999.9, 100000,
153100,99999, 19540117,   28.0, 4, 9999.9, 0, 1020.2, 4, 9999.9, 0,   2.8, 4,  13.0, 4,  15.9, 999.9,   37.0 ,  25.0 , 0.00I,999.9, 000000,
153100,99999, 19540119,   26.8, 4,   20.0, 4, 1023.6, 4, 9999.9, 0,  10.9, 4,   6.0, 4,   9.9, 999.9,   34.0 ,  19.0*, 0.00I,999.9, 000000,
153100,99999, 19540123,   13.5, 4,   10.0, 4, 1025.4, 4, 9999.9, 0,   4.3, 4,  17.5, 4,  19.0, 999.9,   18.0 ,  10.0 , 0.02E,999.9, 000000,
153100,99999, 19540124,   11.0, 4,    7.7, 4, 1026.0, 4, 9999.9, 0,   5.3, 4,  11.5, 4,  14.0, 999.9,   18.0 ,   5.0 , 0.00I,999.9, 000000,
153100,99999, 19540127,    3.5, 4,    0.2, 4, 1024.9, 4, 9999.9, 0,   4.9, 4,   6.5, 4,   9.9, 999.9,    9.0 ,   0.0 , 0.00I,999.9, 000000,
153100,99999, 19540128,    7.7, 4,    2.0, 4, 1021.6, 4, 9999.9, 0,   4.5, 4,  10.2, 4,  16.9, 999.9,   19.0*,  -6.0 , 0.00I,999.9, 000000,
153100,99999, 19540129,   12.7, 4,   11.3, 4, 1010.3, 4, 9999.9, 0,   0.9, 4,  10.0, 4,  14.0, 999.9,   18.0 ,   7.0 , 0.35F,999.9, 001000,
153100,99999, 19540201,    5.5, 4,    4.7, 4, 1026.3, 4, 9999.9, 0,   1.1, 4,  20.7, 4,  25.1, 999.9,   10.0*,  -4.0 , 0.04E,999.9, 000000,
153100,99999, 19540205,    5.0, 4,    3.2, 4, 1031.5, 4, 9999.9, 0,   3.0, 4,   3.0, 4,   9.9, 999.9,   10.0*,  -2.0 , 0.00I,999.9, 100000,
153100,99999, 19540208,   12.7, 4,   12.0, 4, 1021.8, 4, 9999.9, 0,   2.3, 4,   6.5, 4,   9.9, 999.9,   18.0 ,   7.0 , 0.06F,999.9, 001000,
