STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
150900,99999, 19521201,   38.5, 4,   36.3, 4, 1013.4, 4, 9999.9, 0,   3.4, 4,   4.0, 4,   8.0, 999.9,   43.0 ,  30.0 , 0.06F,999.9, 010000,
150900,99999, 19521203,   26.5, 4,   26.5, 4, 1013.1, 4, 9999.9, 0,   3.9, 4,   5.1, 4,   8.0, 999.9,   28.0 ,  25.0 , 0.14F,999.9, 001000,
150900,99999, 19521204,   27.8, 4,   27.8, 4, 1016.0, 4, 9999.9, 0,   1.0, 4,   5.5, 4,  14.0, 999.9,   28.0 ,  27.0 , 0.12E,999.9, 101000,
150900,99999, 19521205,   24.5, 4,   24.5, 4, 1029.6, 4, 9999.9, 0,   5.3, 4,   8.5, 4,  14.0, 999.9,   27.0*,  21.0 , 0.08E,999.9, 000000,
150900,99999, 19521206,   21.2, 4,   20.8, 4, 1039.7, 4, 9999.9, 0,   6.2, 4,   5.5, 4,  14.0, 999.9,   25.0*,  16.0*, 0.00I,999.9, 000000,
150900,99999, 19521207,   18.5, 4,   17.5, 4, 1033.5, 4, 9999.9, 0,   3.4, 4,   5.0, 4,  14.0, 999.9,   21.0 ,  14.0 , 0.00I,999.9, 000000,
150900,99999, 19521208,   20.3, 4,   16.7, 4, 1038.2, 4, 9999.9, 0,   6.2, 4, 999.9, 0, 999.9, 999.9,   23.0*,  14.0*,99.99 ,999.9, 010000,
150900,99999, 19521209,   13.5, 4,   12.2, 4, 1029.8, 4, 9999.9, 0,   2.8, 4,   2.5, 4,   8.0, 999.9,   21.0 ,   3.0 , 0.02E,999.9, 000000,
150900,99999, 19521215,   35.5, 4,   33.0, 4, 1002.8, 4, 9999.9, 0,   9.3, 4,  10.5, 4,  14.0, 999.9,   46.0 ,  32.0*, 0.00I,999.9, 000000,
150900,99999, 19521221,   37.3, 4,   36.8, 4, 1012.7, 4, 9999.9, 0,   1.3, 4,   9.0, 4,  12.0, 999.9,   39.0 ,  36.0 , 0.02E,999.9, 010000,
150900,99999, 19521222,   33.0, 4,   33.0, 4, 1009.0, 4, 9999.9, 0,   1.6, 4,   6.0, 4,   9.9, 999.9,   36.0 ,  30.0 , 0.04E,999.9, 010000,
150900,99999, 19521223,   32.5, 4,   32.5, 4, 1015.0, 4, 9999.9, 0,   1.6, 4,  11.0, 4,  12.0, 999.9,   34.0*,  30.0 , 0.25F,999.9, 101000,
150900,99999, 19521226,   30.5, 4,   30.5, 4, 1024.3, 4, 9999.9, 0,   2.1, 4,   1.5, 4,   4.1, 999.9,   32.0 ,  28.0 , 0.00I,999.9, 100000,
150900,99999, 19521227,   31.0, 4,   31.0, 4, 1020.0, 4, 9999.9, 0,   1.0, 4,   2.0, 4,   8.0, 999.9,   32.0 ,  28.0 , 0.02E,999.9, 110000,
150900,99999, 19530102,   41.0, 4,   40.7, 4, 1003.9, 4, 9999.9, 0,   3.1, 4,  11.2, 4,  22.9, 999.9,   52.0 ,  32.0 , 0.00I,999.9, 100000,
150900,99999, 19530103,   47.8, 4,   40.7, 4, 1000.8, 4, 9999.9, 0,  10.9, 4,   8.0, 4,   9.9, 999.9,   55.0 ,  34.0 , 0.00I,999.9, 000000,
150900,99999, 19530105,   36.2, 4,   34.0, 4, 1013.7, 4, 9999.9, 0,   4.2, 4,  10.4, 4,  15.9, 999.9,   37.0 ,  34.0 , 0.39F,999.9, 010000,
150900,99999, 19530108,   29.0, 4,   25.2, 4, 9999.9, 0, 9999.9, 0,   6.2, 4,  15.5, 4,  30.9, 999.9,   37.0 ,  25.0 , 0.02E,999.9, 000000,
150900,99999, 19530113,   24.5, 4,   23.2, 4, 1025.6, 4, 9999.9, 0,   1.6, 4,  13.7, 4,  16.9, 999.9,   27.0 ,  21.0*, 0.16F,999.9, 001000,
150900,99999, 19530115,   17.5, 4,   12.0, 4, 1027.8, 4, 9999.9, 0,   3.4, 4,   7.0, 4,   9.9, 999.9,   18.0*,  16.0*, 0.02E,999.9, 000000,
150900,99999, 19530116,   15.0, 4,   14.0, 4, 1025.8, 4, 9999.9, 0,   1.3, 4,   1.5, 4,   4.1, 999.9,   16.0 ,  14.0 , 0.00I,999.9, 100000,
