STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
151700,99999, 19661204,   32.6, 5,   30.6, 5, 9999.9, 0, 1023.3, 5,   2.5, 5,   3.6, 5,   8.0, 999.9,   36.0 ,  25.0*, 0.01E,999.9, 001000,
151700,99999, 19661211,   29.8, 4,   29.8, 4, 9999.9, 0, 1022.2, 4,   1.2, 4,   1.0, 4,   1.9, 999.9,   32.0*,  21.0 , 0.00I,999.9, 000000,
151700,99999, 19661214,   29.8, 5,   29.0, 5, 9999.9, 0, 1019.3, 5,   1.2, 5,   0.8, 5,   1.9, 999.9,   36.0 ,  19.0 ,99.99 ,999.9, 011000,
151700,99999, 19661215,   31.5, 4,   31.5, 4, 9999.9, 0, 1022.6, 4,   1.1, 4,   0.5, 4,   1.9, 999.9,   37.0 ,  30.0 , 0.20E,999.9, 001000,
151700,99999, 19661217,   25.0, 5,   18.6, 5, 9999.9, 0, 1037.5, 5,   5.2, 5,   4.1, 5,   4.1, 999.9, 9999.9 ,  23.0 ,99.99 ,999.9, 001000,
151700,99999, 19661220,   17.0, 4,   17.0, 4, 9999.9, 0, 1029.4, 4,   0.8, 4,   1.0, 4,   1.9, 999.9,   25.0 ,   9.0 , 0.02E,999.9, 100000,
151700,99999, 19661224,   27.2, 5,   25.2, 5, 9999.9, 0, 1029.8, 5,   2.1, 5,   1.9, 5,   1.9, 999.9,   30.0*,  23.0 , 0.10F,999.9, 001000,
151700,99999, 19661226,   23.5, 4,   18.5, 4, 9999.9, 0, 1032.6, 4,   4.3, 4,   1.9, 4,   1.9, 999.9,   25.0 ,  23.0*, 0.02E,999.9, 001000,
151700,99999, 19661228,   19.7, 4,   17.5, 4, 9999.9, 0, 1039.2, 4,   1.6, 4,   1.0, 4,   1.9, 999.9,   25.0*,  14.0 ,99.99 ,999.9, 001000,
151700,99999, 19661230,   10.8, 4,   10.8, 4, 9999.9, 0, 1040.7, 4,   0.4, 4,   0.0, 4, 999.9, 999.9,   16.0 ,   3.0 , 0.00I,999.9, 100000,
151700,99999, 19670103,   14.8, 5,   14.4, 5, 9999.9, 0, 1033.0, 5,   1.2, 5,   0.4, 5,   1.9, 999.9,   21.0*,   9.0 , 0.00I,999.9, 000000,
151700,99999, 19670104,   25.5, 4,   21.5, 4, 9999.9, 0, 1031.6, 4,   4.0, 4,   2.0, 4,   4.1, 999.9,   28.0 ,  25.0*, 0.02E,999.9, 001000,
151700,99999, 19670108,   29.8, 5,   27.6, 5, 9999.9, 0, 1031.3, 5,   1.7, 5,   0.8, 5,   1.9, 999.9,   34.0 ,  25.0*, 0.35E,999.9, 001000,
151700,99999, 19670110,   19.4, 5,   19.4, 5, 9999.9, 0, 1026.5, 5,   2.0, 5,   1.6, 5,   4.1, 999.9,   23.0 ,  18.0 , 0.31E,999.9, 001000,
151700,99999, 19670112,    9.0, 5,    6.0, 5, 9999.9, 0, 1026.1, 5,   2.2, 5,   1.6, 5,   1.9, 999.9,   27.0 ,  -8.0 , 0.00I,999.9, 000000,
151700,99999, 19670114,   16.7, 4,   14.3, 4, 9999.9, 0, 1031.0, 4,   1.9, 4,   1.5, 4,   6.0, 999.9,   28.0 ,  -8.0 , 0.04E,999.9, 000000,
151700,99999, 19670119,   -2.6, 5,   -7.8, 5, 9999.9, 0, 1045.0, 5,   1.5, 5,   0.0, 5, 999.9, 999.9,   10.0 , -13.0 , 0.00I,999.9, 000000,
151700,99999, 19670121,   -4.0, 4,   -5.3, 4, 9999.9, 0, 1043.9, 4,   1.6, 4,   0.0, 4, 999.9, 999.9,    3.0*, -11.0*, 0.00I,999.9, 100000,
151700,99999, 19670122,    8.6, 5,    6.4, 5, 9999.9, 0, 1039.2, 5,   1.5, 5,   1.6, 5,   1.9, 999.9,   25.0 ,  -8.0 , 0.00I,999.9, 000000,
