STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
150150,99999, 19821201,   37.4, 5,   33.2, 5, 1033.3, 5,  971.4, 5,  12.7, 5,   4.3, 5,   7.8, 999.9,   38.7*,  35.6*, 0.04E,999.9, 000000,
150150,99999, 19821202,   34.5, 5,   31.0, 5, 1032.8, 4,  970.0, 5,  19.3, 5,   1.9, 5,   5.8, 999.9,   45.3 ,  28.0 , 0.00D,999.9, 000000,
150150,99999, 19821203,   31.0, 4, 9999.9, 0, 9999.9, 0, 9999.9, 0,  18.6, 4,   0.5, 4,   3.9, 999.9,   34.9*,  28.8*, 0.00A,999.9, 000000,
150150,99999, 19821204,   29.2, 7,   12.1, 5, 1040.2, 5,  973.6, 5,  18.6, 7,   4.4, 7,   9.7, 999.9,   35.6*,  23.5 , 0.00B,999.9, 000000,
150150,99999, 19821205,   24.8, 4,   16.7, 4, 1041.1, 4,  977.1, 4,  24.9, 4,   0.0, 4, 999.9, 999.9,   33.1 ,  19.2 , 0.00B,999.9, 000000,
150150,99999, 19821207,   23.1, 4,   21.7, 4, 1025.6, 4,  962.1, 4,   1.7, 4,   1.5, 4,   5.8, 999.9,   27.0*,  16.3 , 0.00E,999.9, 101000,
150150,99999, 19821208,   32.0, 7,   31.2, 5, 1022.5, 5,  960.8, 6,   0.7, 7,   0.3, 7,   1.9, 999.9,   36.0 ,  27.9*, 0.16F,  0.8, 111000,
150150,99999, 19821209,   44.3, 4, 9999.9, 0, 9999.9, 0, 9999.9, 0,   9.3, 4,   3.4, 4,   5.8, 999.9,   46.8*,  38.8*, 0.00E,999.9, 110000,
150150,99999, 19821210,   46.1,10,   41.0, 4, 1010.8, 4,  951.2, 4,  15.2,10,   5.8,10,  11.7, 999.9,   48.4*,  43.2 , 0.31E,999.9, 010000,
150150,99999, 19821211,   45.6, 6,   41.7, 5,  996.8, 6,  938.1, 6,   7.0, 6,  13.3, 6,  27.2, 999.9,   52.0 ,  36.0*, 0.20F,999.9, 010000,
150150,99999, 19821212,   35.3, 8,   29.8, 6, 1006.3, 6,  945.9, 6,  12.1, 8,   7.0, 8,  27.2, 999.9,   41.2*,  30.9*, 0.12B,999.9, 000000,
150150,99999, 19821213,   29.6, 5,   26.9, 4, 9999.9, 0,  946.9, 4,   7.3, 5,   0.8, 5,   1.9, 999.9,   32.4*,  26.6*, 0.00H,999.9, 001000,
150150,99999, 19821214,   29.1, 6,   26.6, 4, 1014.8, 4,  952.8, 4,  18.6, 6,   2.9, 6,   5.8, 999.9,   32.9*,  25.0 , 0.00B,999.9, 000000,
