STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
153460,99999, 19571210,   36.5, 4,   35.2, 4, 1003.6, 4, 9999.9, 0,   1.6, 4,   0.0, 4, 999.9, 999.9,   41.0*,  27.0 , 0.08E,999.9, 110000,
153460,99999, 19571224,    8.2, 4,    5.0, 4, 1027.8, 4, 9999.9, 0,   0.2, 4,   1.0, 4,   1.9, 999.9,   25.0 ,   5.0*, 0.00I,999.9, 100000,
153460,99999, 19571225,   14.0, 4,   10.0, 4, 1027.9, 4, 9999.9, 0,   3.9, 4,   0.0, 4, 999.9, 999.9,   30.0*,   5.0*, 0.00I,999.9, 000000,
153460,99999, 19571229,   32.0, 4,   29.3, 4, 1017.7, 4, 9999.9, 0,   3.4, 4,   0.0, 4, 999.9, 999.9,   41.0*,  27.0*, 0.00I,999.9, 000000,
153460,99999, 19580116,   33.5, 4,   26.5, 4, 1023.8, 4, 9999.9, 0,   1.9, 4,   0.0, 4, 999.9, 999.9,   36.0*,  32.0 , 0.00I,999.9, 000000,
153460,99999, 19580118,   28.8, 4,   26.7, 4, 1019.8, 4, 9999.9, 0,   1.0, 4,   0.5, 4,   1.9, 999.9,   30.0*,  27.0*, 0.00I,999.9, 100000,
153460,99999, 19580126,   31.0, 4,   11.7, 4, 1026.5, 4, 9999.9, 0,   6.8, 4,   2.5, 4,   4.1, 999.9,   36.0*,  28.0*, 0.00I,999.9, 000000,
153460,99999, 19580128,   29.8, 4,   20.8, 4, 1034.0, 4, 9999.9, 0,   7.1, 4,   1.0, 4,   1.9, 999.9,   36.0*,  25.0*, 0.00I,999.9, 000000,
153460,99999, 19580212,   43.0, 4,   36.0, 4, 1020.2, 4, 9999.9, 0,   9.3, 4,   0.5, 4,   1.9, 999.9,   55.0*,  34.0*, 0.00I,999.9, 000000,
153460,99999, 19580228,   48.0, 4,   42.8, 4, 1010.8, 4, 9999.9, 0,  11.5, 4,   2.5, 4,   4.1, 999.9,   54.0*,  41.0*, 0.00I,999.9, 000000,
153460,99999, 19580306,   32.5, 4,   23.0, 4, 1016.8, 4, 9999.9, 0,   7.8, 4,   0.5, 4,   1.9, 999.9,   45.0*,  23.0*, 0.00I,999.9, 000000,
