STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
154700,99999, 19661201,   33.5, 4,   32.5, 4, 1012.2, 4, 9999.9, 0,   3.4, 4,   8.7, 4,  16.9, 999.9,   36.0 ,  32.0*, 0.00I,999.9, 000000,
154700,99999, 19661203,   40.7, 6,   39.0, 6, 1006.4, 6, 9999.9, 0,   2.8, 6,   1.6, 6,   1.9, 999.9,   50.0*,  32.0 ,99.99 ,999.9, 010000,
154700,99999, 19661204,   41.8, 6,   36.6, 6, 1007.4, 6, 9999.9, 0,   6.6, 6,  10.7, 6,  22.9, 999.9,   46.0 ,  39.0*, 0.00I,999.9, 100000,
154700,99999, 19661205,   40.0, 5,   34.8, 5, 1018.9, 5, 9999.9, 0,   5.5, 5,   1.2, 5,   1.9, 999.9,   48.0*,  34.0*, 0.00I,999.9, 000000,
154700,99999, 19661207,   34.8, 5,   34.4, 5, 1018.4, 5, 9999.9, 0,   2.5, 5,  41.4, 5,  47.0, 999.9,   36.0*,  34.0 , 0.16E,999.9, 010000,
154700,99999, 19661209,   30.5, 4,   30.5, 4, 1017.1, 4, 9999.9, 0,   2.2, 4,   3.0, 4,   8.0, 999.9,   36.0 ,  28.0*, 0.00I,999.9, 000000,
154700,99999, 19661211,   34.2, 6,   33.5, 6, 1006.6, 6, 9999.9, 0,   0.8, 6,   0.0, 6, 999.9, 999.9,   41.0*,  30.0 , 0.00I,999.9, 100000,
154700,99999, 19661213,   36.2, 5,   34.4, 5, 1004.5, 5, 9999.9, 0,   4.7, 5,   2.0, 5,   4.1, 999.9,   43.0 ,  30.0*, 0.02E,999.9, 010000,
154700,99999, 19661214,   39.0, 6,   38.8, 6,  999.6, 5, 9999.9, 0,   1.2, 6,   1.3, 6,   4.1, 999.9,   43.0 ,  37.0 , 0.04E,999.9, 110000,
154700,99999, 19661215,   39.0, 6,   37.5, 6, 1003.8, 6, 9999.9, 0,   2.8, 6,   7.5, 6,  16.9, 999.9,   43.0 ,  37.0 , 0.26F,999.9, 010000,
154700,99999, 19661216,   34.2, 4,   34.2, 4, 1015.7, 4, 9999.9, 0,   1.9, 4,   2.5, 4,   4.1, 999.9,   37.0*,  32.0*,99.99 ,999.9, 011000,
154700,99999, 19661217,   34.7, 4,   32.0, 4, 1022.9, 4, 9999.9, 0,   3.4, 4,   4.0, 4,   8.0, 999.9,   37.0*,  32.0 , 0.00I,999.9, 000000,
154700,99999, 19661218,   31.6, 5,   27.6, 5, 1025.1, 5, 9999.9, 0,   4.0, 5,   2.4, 5,   8.0, 999.9,   34.0 ,  30.0*, 0.01E,999.9, 000000,
154700,99999, 19661220,   32.6, 5,   29.4, 5, 1013.3, 5, 9999.9, 0,   2.2, 5,   1.2, 5,   4.1, 999.9,   39.0 ,  25.0*, 0.00I,999.9, 000000,
154700,99999, 19661221,   35.6, 5,   35.6, 5, 1009.1, 5, 9999.9, 0,   1.6, 5,   1.2, 5,   1.9, 999.9,   36.0 ,  34.0*,99.99 ,999.9, 010000,
