STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
152600,99999, 19521201,   45.5, 4,   40.0, 4, 1014.6, 4, 9999.9, 0,  15.5, 4,   0.5, 4,   1.9, 999.9,   52.0 ,  39.0 , 0.00I,999.9, 000000,
152600,99999, 19521202,   45.2, 4,   43.2, 4, 1011.8, 4, 9999.9, 0,   7.9, 4,   2.5, 4,   8.0, 999.9,   48.0 ,  43.0*, 0.20F,999.9, 010000,
152600,99999, 19521203,   38.0, 4,   38.0, 4, 1009.5, 4, 9999.9, 0,   9.3, 4,   3.0, 4,   4.1, 999.9,   41.0*,  37.0 , 0.31E,999.9, 010000,
152600,99999, 19521204,   35.7, 4,   35.2, 4, 1010.7, 4, 9999.9, 0,   4.7, 4,   2.0, 4,   4.1, 999.9,   39.0 ,  34.0*, 0.26F,999.9, 010000,
152600,99999, 19521206,   28.5, 4,   27.2, 4, 1033.4, 4, 9999.9, 0,   7.8, 4,   5.5, 4,   8.0, 999.9,   34.0 ,  23.0 , 0.21F,999.9, 001000,
152600,99999, 19521207,   25.2, 4,   25.2, 4, 1029.6, 4, 9999.9, 0,   8.2, 4,   0.0, 4, 999.9, 999.9,   34.0 ,  21.0 , 0.06F,999.9, 000000,
152600,99999, 19521208,   28.8, 4, 9999.9, 0, 9999.9, 0, 9999.9, 0,   2.6, 4,   2.5, 4,   8.0, 999.9,   32.0*,  27.0 , 0.20F,999.9, 001000,
152600,99999, 19521209,   29.0, 4,   28.5, 4, 1028.7, 4, 9999.9, 0,   4.7, 4,   0.0, 4, 999.9, 999.9,   32.0 ,  25.0 , 0.08E,999.9, 001000,
152600,99999, 19521210,   28.3, 4,   24.0, 4, 1032.1, 4, 9999.9, 0,   4.3, 4,   1.0, 4,   4.1, 999.9,   34.0 ,  25.0*, 0.00I,999.9, 000000,
152600,99999, 19521211,   20.3, 4,   18.0, 4, 1028.9, 4, 9999.9, 0,   9.4, 4,   0.5, 4,   1.9, 999.9,   30.0 ,  12.0 , 0.00I,999.9, 100000,
152600,99999, 19521212,   19.3, 4,   16.2, 4, 1020.1, 4, 9999.9, 0,  18.6, 4,   0.5, 4,   1.9, 999.9,   32.0 ,   9.0 , 0.00I,999.9, 100000,
152600,99999, 19521214,   41.0, 4, 9999.9, 0, 1004.2, 4, 9999.9, 0,  12.4, 4, 999.9, 0, 999.9, 999.9,   46.0 ,  37.0 , 0.02E,999.9, 010000,
152600,99999, 19521215,   45.7, 4,   40.2, 4, 1001.4, 4, 9999.9, 0,  12.4, 4,  13.5, 4,  22.9, 999.9,   55.0 ,  34.0 , 0.02E,999.9, 010000,
152600,99999, 19521219,   48.5, 4,   37.5, 4, 1010.1, 4, 9999.9, 0,  18.6, 4,   5.0, 4,   8.0, 999.9,   54.0 ,  45.0 , 0.00I,999.9, 000000,
152600,99999, 19521220,   44.0, 4, 9999.9, 0, 1012.1, 4, 9999.9, 0,  12.4, 4,   3.5, 4,   8.0, 999.9,   48.0 ,  36.0 , 0.00I,999.9, 000000,
152600,99999, 19521221,   41.0, 4,   40.0, 4, 1012.3, 4, 9999.9, 0,  16.3, 4,   0.0, 4, 999.9, 999.9,   43.0*,  36.0 , 0.00I,999.9, 000000,
